method,time,bitstring_q4_to_q0,probability
exact,0.0,00000,5.8259380817713885e-33
exact,0.0,00001,0.0
exact,0.0,00010,6.933347799794049e-33
exact,0.0,00011,3.2548216060144286e-32
exact,0.0,00100,0.9999999999999982
exact,0.0,00101,7.703719777548943e-34
exact,0.0,00110,1.560003254953661e-32
exact,0.0,00111,6.161659268366234e-33
exact,0.0,01000,0.0
exact,0.0,01001,1.232595164407831e-32
exact,0.0,01010,4.8148248609680896e-33
exact,0.0,01011,4.3333423748712807e-32
exact,0.0,01100,1.560003254953661e-32
exact,0.0,01101,1.232595164407831e-32
exact,0.0,01110,3.0814879110195774e-33
exact,0.0,01111,3.5100073236457373e-32
exact,0.0,10000,1.232595164407831e-32
exact,0.0,10001,1.9259299443872359e-32
exact,0.0,10010,1.232595164407831e-32
exact,0.0,10011,1.9259299443872359e-32
exact,0.0,10100,4.8148248609680896e-33
exact,0.0,10101,1.232595164407831e-32
exact,0.0,10110,6.933347799794049e-33
exact,0.0,10111,5.308344409217319e-33
exact,0.0,11000,4.930380657631324e-32
exact,0.0,11001,1.830837153383116e-32
exact,0.0,11010,2.7733391199176196e-32
exact,0.0,11011,8.137054015036071e-33
exact,0.0,11100,8.856456557739311e-33
exact,0.0,11101,4.8148248609680896e-33
exact,0.0,11110,5.8259380817713885e-33
exact,0.0,11111,3.317715255760824e-32
strang_r2,0.0,00000,8.099609235466998e-33
strang_r2,0.0,00001,1.5765728937679283e-66
strang_r2,0.0,00010,7.381944385907703e-67
strang_r2,0.0,00011,1.8563519033568432e-100
strang_r2,0.0,00100,0.9999999999999796
strang_r2,0.0,00101,3.5059588681315916e-35
strang_r2,0.0,00110,6.234774011996126e-34
strang_r2,0.0,00111,4.748576774853755e-68
strang_r2,0.0,01000,3.538974900880065e-67
strang_r2,0.0,01001,1.3930182400813336e-100
strang_r2,0.0,01010,2.6527452405609714e-100
strang_r2,0.0,01011,5.563757966163464e-134
strang_r2,0.0,01100,2.3833993906724315e-34
strang_r2,0.0,01101,2.334829990461319e-68
strang_r2,0.0,01110,4.886118695416959e-68
strang_r2,0.0,01111,3.170121979514134e-101
strang_r2,0.0,10000,3.929000184221712e-68
strang_r2,0.0,10001,5.895500821070528e-103
strang_r2,0.0,10010,1.0552473589523312e-101
strang_r2,0.0,10011,1.2349456213181794e-132
strang_r2,0.0,10100,2.3855796023913035e-34
strang_r2,0.0,10101,1.110678111334022e-67
strang_r2,0.0,10110,2.325767950029477e-67
strang_r2,0.0,10111,2.4220857875043914e-103
strang_r2,0.0,11000,3.6633202785838894e-100
strang_r2,0.0,11001,3.129146164749498e-135
