circuit_key,family_group,strategy,num_plaquettes,x,time,repetitions,source_size,source_depth,source_two_qubit,mean_pauli_weight,logical_size,logical_two_qubit,exact_equivalence_validated,native_size,native_depth,native_two_qubit,native_two_qubit_depth,native_duration_seconds,routing_two_qubit_overhead,routing_penalty_ratio,native_swap_gates,calibration_error_budget,compile_time_seconds,cost
N5_x0.5_t0.04_r1,x0.5_r1,qiskit,5,0.5,0.04,1,187,134,72,1.72,187,72,True,404,247,60,52,3.076431599999997e-05,-12,0.8333333333333334,0,0.09831421365807834,0.5711104050133144,63.00628427316157
N5_x0.5_t0.04_r1,x0.5_r1,basic,5,0.5,0.04,1,187,134,72,1.72,131,62,True,355,192,48,40,2.2871327999999985e-05,-14,0.7741935483870968,0,0.09892800001779327,0.1682937380101066,50.77856000035586
N5_x0.5_t0.04_r1,x0.5_r1,teleport,5,0.5,0.04,1,187,134,72,1.72,183,72,True,383,224,56,48,2.894080799999998e-05,-16,0.7777777777777778,0,0.08525574426551938,0.10522575299546588,58.66511488531039
N5_x0.5_t0.04_r1,x0.5_r1,full_reduce,5,0.5,0.04,1,187,134,72,1.72,201,72,True,808,427,111,91,5.105800199999991e-05,39,1.5416666666666667,0,0.23909156360085995,0.10818485100753605,117.6018312720172
N5_x0.5_t0.04_r2,x0.5_r2,qiskit,5,0.5,0.04,2,373,268,144,1.72,373,144,True,794,481,118,102,5.9621429999999844e-05,-26,0.8194444444444444,0,0.1998557882885834,0.006937518002814613,124.03711576577167
N5_x0.5_t0.04_r2,x0.5_r2,basic,5,0.5,0.04,2,373,268,144,1.72,257,124,True,680,379,94,78,4.3963325999999916e-05,-30,0.7580645161290323,0,0.20108336100801333,0.10196866298792884,99.58166722016027
N5_x0.5_t0.04_r2,x0.5_r2,teleport,5,0.5,0.04,2,373,268,144,1.72,356,144,True,713,418,104,90,5.3503553999999886e-05,-40,0.7222222222222222,0,0.1647868396051848,0.2747839050134644,109.0957367921037
N5_x0.5_t0.04_r2,x0.5_r2,full_reduce,5,0.5,0.04,2,373,268,144,1.72,335,113,True,1393,737,199,176,9.169843199999989e-05,86,1.761061946902655,0,0.4472759886846529,0.2756869500008179,211.46551977369307
N5_x0.5_t0.04_r4,x0.5_r4,qiskit,5,0.5,0.04,4,745,536,288,1.72,745,288,True,1603,943,234,202,0.00011720601000000042,-54,0.8125,0,0.40293893754959303,0.014840477000689134,246.09877875099184
N5_x0.5_t0.04_r4,x0.5_r4,basic,5,0.5,0.04,4,745,536,288,1.72,509,248,True,1340,741,186,154,8.591289000000009e-05,-62,0.75,0,0.4053940829884529,0.19070291800017003,197.18788165976906
N5_x0.5_t0.04_r4,x0.5_r4,teleport,5,0.5,0.04,4,745,536,288,1.72,702,288,True,1357,805,200,174,0.00010243635000000029,-88,0.6944444444444444,0,0.32384903028451517,0.7002800049958751,209.9569806056903
N5_x0.5_t0.04_r4,x0.5_r4,full_reduce,5,0.5,0.04,4,745,536,288,1.72,606,198,True,2450,1272,385,326,0.00016427289599999905,187,1.9444444444444444,0,0.9172002759989871,0.6085426709905732,409.86400551997974
N5_x0.5_t0.08_r1,x0.5_r1,qiskit,5,0.5,0.08,1,187,134,72,1.72,187,72,True,403,243,60,52,3.067995599999998e-05,-12,0.8333333333333334,0,0.09831421365807834,0.007259945006808266,63.00628427316157
N5_x0.5_t0.08_r1,x0.5_r1,basic,5,0.5,0.08,1,187,134,72,1.72,131,62,True,354,193,48,40,2.2927715999999988e-05,-14,0.7741935483870968,0,0.09892800001779327,0.04964635500800796,50.77856000035586
N5_x0.5_t0.08_r1,x0.5_r1,teleport,5,0.5,0.08,1,187,134,72,1.72,183,72,True,385,224,56,48,2.894080799999998e-05,-16,0.7777777777777778,0,0.08525574426551938,0.10347864800132811,58.66511488531039
N5_x0.5_t0.08_r1,x0.5_r1,full_reduce,5,0.5,0.08,1,187,134,72,1.72,201,72,True,813,427,111,91,5.105800199999991e-05,39,1.5416666666666667,0,0.23909156360085995,0.11858352799026761,117.6018312720172
N5_x0.5_t0.08_r2,x0.5_r2,qiskit,5,0.5,0.08,2,373,268,144,1.72,373,144,True,790,483,118,102,5.969069399999985e-05,-26,0.8194444444444444,0,0.1998557882885834,0.009145162999629974,124.03711576577167
N5_x0.5_t0.08_r2,x0.5_r2,basic,5,0.5,0.08,2,373,268,144,1.72,257,124,True,691,376,94,78,4.391981399999991e-05,-30,0.7580645161290323,0,0.20108336100801333,0.10014861400122754,99.58166722016027
