version,seed,target_name,target_topology,layout_name,strategy,verification_result,native_2q_count,native_2q_depth,compile_time_seconds,failure
v0.3.0,11,synthetic_line_7q_favorable,line,favorable,qiskit,True,118,102,0.007097485000031156,
v0.3.0,11,synthetic_line_7q_favorable,line,favorable,basic,True,94,78,0.09361209400003645,
v0.3.0,11,synthetic_line_7q_favorable,line,favorable,basic_swaps,True,94,78,0.09295381800029645,
v0.3.0,11,synthetic_line_7q_favorable,line,favorable,teleport,True,104,90,0.2634526140000162,
v0.3.0,11,synthetic_line_7q_favorable,line,favorable,full_reduce,True,202,179,0.24867767800014917,
v0.3.0,11,synthetic_line_7q_favorable,line,favorable,full_reduce_depth,True,194,168,6.777705694999895,
v0.3.0,11,synthetic_ring_7q_transpiler,ring,transpiler,qiskit,True,118,102,0.007543949000137218,
v0.3.0,11,synthetic_ring_7q_transpiler,ring,transpiler,basic,True,94,78,0.09080304899998737,
v0.3.0,11,synthetic_ring_7q_transpiler,ring,transpiler,basic_swaps,True,94,78,0.09544078999988415,
v0.3.0,11,synthetic_ring_7q_transpiler,ring,transpiler,teleport,True,104,90,0.247004416999971,
v0.3.0,11,synthetic_ring_7q_transpiler,ring,transpiler,full_reduce,True,205,173,0.2514853419997962,
v0.3.0,11,synthetic_ring_7q_transpiler,ring,transpiler,full_reduce_depth,True,182,154,7.032568504999745,
v0.3.0,11,synthetic_irregular_7q_spread,irregular,spread,qiskit,True,124,105,0.008248122000168223,
v0.3.0,11,synthetic_irregular_7q_spread,irregular,spread,basic,True,100,81,0.09865041400007613,
v0.3.0,11,synthetic_irregular_7q_spread,irregular,spread,basic_swaps,True,100,81,0.08954105399971013,
v0.3.0,11,synthetic_irregular_7q_spread,irregular,spread,teleport,True,110,93,0.24619382800028689,
v0.3.0,11,synthetic_irregular_7q_spread,irregular,spread,full_reduce,True,186,157,0.24682080000002316,
v0.3.0,11,synthetic_irregular_7q_spread,irregular,spread,full_reduce_depth,True,186,158,6.809882689999995,
v0.3.0,29,synthetic_line_7q_favorable,line,favorable,qiskit,True,118,102,0.007495381999888195,
v0.3.0,29,synthetic_line_7q_favorable,line,favorable,basic,True,94,78,0.08723875899977429,
v0.3.0,29,synthetic_line_7q_favorable,line,favorable,basic_swaps,True,94,78,0.08968127199977971,
v0.3.0,29,synthetic_line_7q_favorable,line,favorable,teleport,True,104,90,0.24698373599994738,
v0.3.0,29,synthetic_line_7q_favorable,line,favorable,full_reduce,True,201,177,0.2472778820001622,
v0.3.0,29,synthetic_line_7q_favorable,line,favorable,full_reduce_depth,True,186,161,6.93626958599998,
v0.3.0,29,synthetic_ring_7q_transpiler,ring,transpiler,qiskit,True,118,102,0.007403089999570511,
v0.3.0,29,synthetic_ring_7q_transpiler,ring,transpiler,basic,True,94,78,0.09002943199993751,
v0.3.0,29,synthetic_ring_7q_transpiler,ring,transpiler,basic_swaps,True,94,78,0.09015374599994175,
v0.3.0,29,synthetic_ring_7q_transpiler,ring,transpiler,teleport,True,104,90,0.2674020929998733,
v0.3.0,29,synthetic_ring_7q_transpiler,ring,transpiler,full_reduce,True,205,174,0.24907443200027046,
v0.3.0,29,synthetic_ring_7q_transpiler,ring,transpiler,full_reduce_depth,True,187,158,6.928906384999664,
