case_id,circuit_structure_hash,target_name,layout_name,strategy,native_2q_count,native_2q_depth,estimated_duration,cost
N2_x0.5_t0.08_r2_current__synthetic_grid_6q_transpiler__seed7,ea9fd4755a15f06dce28cd5aa229180e11dd3f9164c2862f20878fd6099a34ea,synthetic_grid_6q_transpiler,transpiler,qiskit,3,3,1.385502e-06,3003000.0000013853
N2_x0.5_t0.08_r2_current__synthetic_heavy_hex_like_7q_transpiler__seed7,ea9fd4755a15f06dce28cd5aa229180e11dd3f9164c2862f20878fd6099a34ea,synthetic_heavy_hex_like_7q_transpiler,transpiler,qiskit,3,3,1.2802740000000002e-06,3003000.00000128
N2_x0.5_t0.08_r2_current__synthetic_irregular_7q_favorable__seed7,ea9fd4755a15f06dce28cd5aa229180e11dd3f9164c2862f20878fd6099a34ea,synthetic_irregular_7q_favorable,favorable,qiskit,3,3,7.652340000000001e-07,3003000.000000765
N2_x0.5_t0.08_r2_current__synthetic_irregular_7q_spread__seed7,ea9fd4755a15f06dce28cd5aa229180e11dd3f9164c2862f20878fd6099a34ea,synthetic_irregular_7q_spread,spread,qiskit,9,6,2.6300340000000003e-06,9006000.00000263
N2_x0.5_t0.08_r2_current__synthetic_line_6q_favorable__seed7,ea9fd4755a15f06dce28cd5aa229180e11dd3f9164c2862f20878fd6099a34ea,synthetic_line_6q_favorable,favorable,qiskit,3,3,1.36419e-06,3003000.0000013644
N2_x0.5_t0.08_r2_current__synthetic_line_6q_spread__seed7,ea9fd4755a15f06dce28cd5aa229180e11dd3f9164c2862f20878fd6099a34ea,synthetic_line_6q_spread,spread,qiskit,15,12,6.693744000000001e-06,15012000.000006694
N2_x0.5_t0.08_r2_current__synthetic_ring_6q_transpiler__seed7,ea9fd4755a15f06dce28cd5aa229180e11dd3f9164c2862f20878fd6099a34ea,synthetic_ring_6q_transpiler,transpiler,qiskit,3,3,2.092794e-06,3003000.0000020927
N2_x1_t0.16_r2_reversed__synthetic_heavy_hex_like_7q_transpiler__seed7,6a8f2381109966d6c07f9bfa84cc7fc27a66a98aabd4280928f074e18c61a924,synthetic_heavy_hex_like_7q_transpiler,transpiler,qiskit,3,3,1.2802740000000002e-06,3003000.00000128
N2_x2_t0.24_r1_current__synthetic_grid_6q_transpiler__seed7,35020745cbf315956a25dd89ce4cee9e5cbb9ea64d68560011a94cb992a049cd,synthetic_grid_6q_transpiler,transpiler,qiskit,3,3,1.39305e-06,3003000.0000013933
N2_x2_t0.24_r1_current__synthetic_heavy_hex_like_7q_transpiler__seed7,35020745cbf315956a25dd89ce4cee9e5cbb9ea64d68560011a94cb992a049cd,synthetic_heavy_hex_like_7q_transpiler,transpiler,qiskit,3,3,1.2802740000000002e-06,3003000.00000128
N2_x2_t0.24_r1_current__synthetic_irregular_7q_favorable__seed7,35020745cbf315956a25dd89ce4cee9e5cbb9ea64d68560011a94cb992a049cd,synthetic_irregular_7q_favorable,favorable,qiskit,3,3,7.652340000000001e-07,3003000.000000765
N2_x2_t0.24_r1_current__synthetic_irregular_7q_spread__seed7,35020745cbf315956a25dd89ce4cee9e5cbb9ea64d68560011a94cb992a049cd,synthetic_irregular_7q_spread,spread,qiskit,9,6,2.6300340000000003e-06,9006000.00000263
