case_id,circuit_structure_hash,num_plaquettes,target_topology,structural_family_fold
N2_x2_t0.24_r1_current__synthetic_line_6q_favorable__seed7,35020745cbf315956a25dd89ce4cee9e5cbb9ea64d68560011a94cb992a049cd,2,line,1
N2_x2_t0.24_r1_current__synthetic_line_6q_spread__seed7,35020745cbf315956a25dd89ce4cee9e5cbb9ea64d68560011a94cb992a049cd,2,line,1
N2_x2_t0.24_r1_current__synthetic_ring_6q_transpiler__seed7,35020745cbf315956a25dd89ce4cee9e5cbb9ea64d68560011a94cb992a049cd,2,ring,1
N2_x2_t0.24_r1_current__synthetic_grid_6q_transpiler__seed7,35020745cbf315956a25dd89ce4cee9e5cbb9ea64d68560011a94cb992a049cd,2,grid,1
N2_x2_t0.24_r1_current__synthetic_heavy_hex_like_7q_transpiler__seed7,35020745cbf315956a25dd89ce4cee9e5cbb9ea64d68560011a94cb992a049cd,2,heavy_hex_like,1
N2_x2_t0.24_r1_current__synthetic_irregular_7q_favorable__seed7,35020745cbf315956a25dd89ce4cee9e5cbb9ea64d68560011a94cb992a049cd,2,irregular,1
N2_x2_t0.24_r1_current__synthetic_irregular_7q_spread__seed7,35020745cbf315956a25dd89ce4cee9e5cbb9ea64d68560011a94cb992a049cd,2,irregular,1
N2_x2_t0.24_r2_current__synthetic_line_6q_spread__seed7,ea9fd4755a15f06dce28cd5aa229180e11dd3f9164c2862f20878fd6099a34ea,2,line,0
N2_x2_t0.24_r4_current__synthetic_ring_6q_transpiler__seed7,9ecbc4c70bcf0e70de31553ecd92e6eaf26a4895d6ac4b94054793f40db38e6f,2,ring,3
N2_x2_t0.24_r8_current__synthetic_grid_6q_transpiler__seed7,5292a2a2bb1015f0074752bd9aaa660e2117a2f209faf3a68314679e6f2d4205,2,grid,0
N2_x1_t0.16_r2_reversed__synthetic_heavy_hex_like_7q_transpiler__seed7,6a8f2381109966d6c07f9bfa84cc7fc27a66a98aabd4280928f074e18c61a924,2,heavy_hex_like,0
N2_x4_t0.32_r2_symmetry__synthetic_irregular_7q_favorable__seed7,d7e156d9abf60a9a236245a817a665649a60487f1f7949726086ebb0a11eda90,2,irregular,4
N2_x0.5_t0.08_r2_current__synthetic_line_6q_favorable__seed7,ea9fd4755a15f06dce28cd5aa229180e11dd3f9164c2862f20878fd6099a34ea,2,line,0
N2_x0.5_t0.08_r2_current__synthetic_line_6q_spread__seed7,ea9fd4755a15f06dce28cd5aa229180e11dd3f9164c2862f20878fd6099a34ea,2,line,0
N2_x0.5_t0.08_r2_current__synthetic_ring_6q_transpiler__seed7,ea9fd4755a15f06dce28cd5aa229180e11dd3f9164c2862f20878fd6099a34ea,2,ring,0
N2_x0.5_t0.08_r2_current__synthetic_grid_6q_transpiler__seed7,ea9fd4755a15f06dce28cd5aa229180e11dd3f9164c2862f20878fd6099a34ea,2,grid,0
N2_x0.5_t0.08_r2_current__synthetic_heavy_hex_like_7q_transpiler__seed7,ea9fd4755a15f06dce28cd5aa229180e11dd3f9164c2862f20878fd6099a34ea,2,heavy_hex_like,0
N2_x0.5_t0.08_r2_current__synthetic_irregular_7q_favorable__seed7,ea9fd4755a15f06dce28cd5aa229180e11dd3f9164c2862f20878fd6099a34ea,2,irregular,0
N2_x0.5_t0.08_r2_current__synthetic_irregular_7q_spread__seed7,ea9fd4755a15f06dce28cd5aa229180e11dd3f9164c2862f20878fd6099a34ea,2,irregular,0
N3_x2_t0.24_r1_current__synthetic_line_6q_favorable__seed7,765e8cc2c75724fb242ba5e1c778dfd8856fe1c57f25e657cf6892bd9d945ec5,3,line,3
N3_x2_t0.24_r2_current__synthetic_line_6q_spread__seed7,895718eee45a850d435c8240f7a9ee014cfb599978558936fe2e71db8b8c0270,3,line,4
N3_x2_t0.24_r4_current__synthetic_ring_6q_transpiler__seed7,a8c77d0b2cdabef3b9ba279df496609f76a174ba9474507d77488b124b9a2527,3,ring,2
N3_x2_t0.24_r8_current__synthetic_grid_6q_transpiler__seed7,6c1d27e17ed1cf182fc54db750bd1543268c42d972721db2752c586c79302655,3,grid,4
N3_x1_t0.16_r2_reversed__synthetic_heavy_hex_like_7q_transpiler__seed7,53c4f0677915c62f9f4a3a2141402bf5759264456ba570678b9a3dd1792b6691,3,heavy_hex_like,4
N3_x4_t0.32_r2_symmetry__synthetic_line_6q_favorable__seed7,ba6a68ec18cf628ef593f8bf116adff9beb0c49bfece1e9746db62e3c2b91702,3,line,2
N3_x4_t0.32_r2_symmetry__synthetic_line_6q_spread__seed7,ba6a68ec18cf628ef593f8bf116adff9beb0c49bfece1e9746db62e3c2b91702,3,line,2
N3_x4_t0.32_r2_symmetry__synthetic_ring_6q_transpiler__seed7,ba6a68ec18cf628ef593f8bf116adff9beb0c49bfece1e9746db62e3c2b91702,3,ring,2
