method,time,survival,electric_energy,magnetic_energy,total_energy,tvd_to_exact_hamiltonian,mirror_asymmetry,norm_error,occupation_0,occupation_1,occupation_2,occupation_3,occupation_4
exact,0.0,0.9999999999999982,2.9999999999999947,3.885780586188051e-16,2.999999999999995,0.0,1.5455587803707568e-32,1.7763568394002505e-15,2.6315594548807612e-31,2.6627354458555296e-31,0.9999999999999982,2.8273874097729478e-31,2.487099662724028e-31
exact,0.004,0.9991043747301551,3.0009600311325046,-0.0009600311325111731,2.9999999999999933,0.0,5.421010862427522e-20,1.9984014443252818e-15,0.00025597098760025126,6.40076557707777e-05,0.9997440392488149,6.400765577077775e-05,0.0002559709876002512
exact,0.008,0.9964219910533251,3.003840496417741,-0.003840496417745219,2.9999999999999956,0.0,4.0657581468206416e-19,1.7763568394002505e-15,0.0010235358464277845,0.00025612235340461646,0.9989766277643606,0.00025612235340461683,0.001023535846427784
exact,0.012,0.9919662907038532,3.008642498768258,-0.008642498768263056,2.9999999999999947,0.0,1.463672932855431e-18,1.5543122344752192e-15,0.002301650600938158,0.0005766182431692084,0.9976991762300768,0.0005766182431692091,0.0023016506009381557
exact,0.016,0.9857595613689607,3.01536783397962,-0.015367833979625906,2.9999999999999942,0.0,2.927345865710862e-18,1.5543122344752192e-15,0.004088576414364377,0.0010259487810288755,0.9959140303812913,0.001025948781028877,0.004088576414364373
exact,0.02,0.9778327650784189,3.024018927525692,-0.024018927525697314,2.9999999999999947,0.0,4.228388472693467e-18,1.6653345369377348e-15,0.0063818812766922636,0.0016047415643042856,0.9936244629312574,0.0016047415643042871,0.006381881276692257
exact,0.024,0.9682253003253551,3.034598746835512,-0.034598746835517225,2.9999999999999947,0.0,6.938893903907228e-18,1.6653345369377348e-15,0.00917844237629866,0.002313791156142766,0.9908346623306694,0.0023137911561427697,0.00917844237629865
exact,0.028,0.9569847002606142,3.047110689807657,-0.04711068980766167,2.9999999999999956,0.0,5.204170427930421e-18,1.5543122344752192e-15,0.012474449163593325,0.0031540499528387965,0.9875497184231402,0.0031540499528387982,0.012474449163593316
exact,0.032,0.9441662699258806,3.0615584505233038,-0.06155845052330866,2.999999999999995,0.0,1.6479873021779667e-17,1.887379141862766e-15,0.016265407117201116,0.0041266171627645145,0.9837756050761477,0.00412661716276452,0.016265407117201088
exact,0.036000000000000004,0.9298326660795746,3.0779458633165926,-0.07794586331659609,2.9999999999999964,0.0,8.673617379884035e-18,1.5543122344752192e-15,0.02054614222527908,0.00523272597985964,0.9795191598833943,0.005232725979859647,0.02054614222527907
exact,0.04,0.91405342371757,3.0962767265487856,-0.09627672654879021,2.9999999999999956,0.0,2.47198095326695e-17,1.7763568394002505e-15,0.025310806196454556,0.006473729048179988,0.9747880610502107,0.006473729048179999,0.025310806196454518
exact,0.044,0.8969044338920351,3.1165546076096966,-0.11655460760970127,2.9999999999999956,0.0,2.168404344971009e-17,1.5543122344752192e-15,0.030552882416568828,0.007851082326811861,0.9695908015885092,0.007851082326811863,0.030552882416568786
exact,0.048,0.8784673778804278,3.138782630834238,-0.13878263083424303,2.999999999999995,0.0,3.5561831257524545e-17,1.5543122344752192e-15,0.03626519266889214,0.009366327476428413,0.963936660961672,0.009366327476428429,0.03626519266889208
exact,0.052000000000000005,0.8588291231481686,3.1629632501728233,-0.16296325017282698,2.9999999999999964,0.0,2.7755575615628914e-17,1.4432899320127035e-15,0.04243990463671479,0.011021072899805893,0.9578356743326414,0.011021072899805893,0.04243990463671474
exact,0.056,0.8380810868784051,3.1890980085901215,-0.1890980085901266,2.9999999999999947,0.0,3.9898639947466563e-17,1.7763568394002505e-15,0.04906854020819722,0.01281697357864972,0.951298599580175,0.012816973578649731,0.04906854020819715
exact,0.06,0.8163185731072867,3.2171872862866384,-0.21718728628664274,2.9999999999999956,0.0,2.42861286636753e-17,1.7763568394002505e-15,0.056141984604059586,0.014755709858032208,0.9443368822587475,0.014755709858032215,0.056141984604059544
exact,0.064,0.7936400897005955,3.2472300399405865,-0.2472300399405899,2.9999999999999964,0.0,3.642919299551295e-17,1.3322676295501878e-15,0.0636504963490909,0.016838965337549503,0.9369626186867821,0.01683896533754952,0.06365049634909084
exact,0.068,0.770146651535735,3.2792235352530237,-0.2792235352530277,2.999999999999996,0.0,5.898059818321144e-17,1.4432899320127035e-15,0.07158371810854848,0.019068404034914853,0.9291885173557878,0.019068404034914874,0.07158371810854838
exact,0.07200000000000001,0.7459410763109957,3.3131630751464267,-0.3131630751464315,2.999999999999995,0.0,3.469446951953614e-17,1.3322676295501878e-15,0.07993068841028812,0.02144564699307123,0.921027858859477,0.021445646993071246,0.07993068841028807
exact,0.076,0.7211272793916811,3.349041726015453,-0.3490417260154559,2.999999999999997,0.0,3.469446951953614e-17,1.3322676295501878e-15,0.08867985427290478,0.023972248505999903,0.9124944545469942,0.02397224850599993,0.08867985427290474
exact,0.08,0.6958095740209393,3.38685004445835,-0.3868500444583529,2.999999999999997,0.0,7.45931094670027e-17,1.1102230246251565e-15,0.09781908475926919,0.02664967214119589,0.903602604108092,0.02664967214119593,0.09781908475926908
exact,0.084,0.6700919830735992,3.426575806928054,-0.4265758069280582,2.9999999999999956,0.0,6.938893903907228e-17,1.3322676295501878e-15,0.1073356854736154,0.029479266738268034,0.8943670523002598,0.029479266738268048,0.10733568547361527
exact,0.088,0.6440775683165079,3.468203744733674,-0.468203744733678,2.9999999999999964,0.0,4.163336342344337e-17,1.2212453270876722e-15,0.11721641401876881,0.032462242563297716,0.884802945028642,0.032462242563297744,0.11721641401876876
exact,0.092,0.61786778286201,3.511715286795866,-0.5117152867958689,2.999999999999997,0.0,1.0755285551056204e-16,1.2212453270876722e-15,0.1274474964282035,0.03559964779746478,0.874925784988931,0.0355996477974648,0.1274474964282033
exact,0.096,0.5915618521663474,3.557088312514025,-0.5570883125140288,2.9999999999999964,0.0,1.3877787807814457e-16,1.2212453270876722e-15,0.13801464458539411,0.03889234553604313,0.864751387081449,0.038892345536043156,0.13801464458539386
exact,0.1,0.5652561885365013,3.6042969170397194,-0.6042969170397223,2.9999999999999973,0.0,1.5265566588595902e-16,1.1102230246251565e-15,0.14890307464038835,0.0423409914702097,0.8542958338012937,0.042340991470209755,0.1489030746403881
exact,0.10400000000000001,0.539043843672666,3.6533111911699425,-0.6533111911699456,2.999999999999997,0.0,1.0061396160665481e-16,1.1102230246251565e-15,0.1600975264306783,0.04594601241923864,0.843575430804796,0.04594601241923867,0.16009752643067812
exact,0.108,0.5130140032949225,3.704097017976567,-0.7040970179765703,2.9999999999999964,0.0,8.673617379884035e-17,1.2212453270876722e-15,0.17158228391031577,0.04970758587461564,0.8326066628467255,0.04970758587461568,0.17158228391031563
exact,0.112,0.48725152738804184,3.75661588817544,-0.7566158881754439,2.999999999999996,0.0,1.491862189340054e-16,1.1102230246251565e-15,0.1833411965878078,0.053625620710462195,0.821406150275676,0.05362562071046224,0.18334119658780754
exact,0.116,0.46183653905433397,3.8108247361112646,-0.8108247361112685,2.999999999999996,0.0,1.1449174941446927e-16,1.2212453270876722e-15,0.19535770196966937,0.057699739206469265,0.8099906062670317,0.05769973920646933,0.1953577019696692
exact,0.12,0.43684406439796963,3.8666757980935174,-0.8666757980935211,2.9999999999999964,0.0,1.3877787807814457e-16,1.1102230246251565e-15,0.20761484900261717,0.06192926052037877,0.7983767949638747,0.06192926052037885,0.20761484900261698
exact,0.124,0.4123437252823616,3.9241164946656912,-0.9241164946656955,2.9999999999999956,0.0,1.5959455978986625e-16,9.992007221626409e-16,0.22009532250328698,0.06631318573699344,0.7865814906862816,0.06631318573699348,0.2200953225032867
exact,0.128,0.38839948621218023,3.9830893382262516,-0.9830893382262565,2.999999999999995,0.0,1.8041124150158794e-16,1.2212453270876722e-15,0.23278146856007764,0.07085018460982886,0.7746214383587674,0.07085018460982892,0.23278146856007734
exact,0.132,0.36506945600059226,4.043531867246251,-1.0435318672462546,2.999999999999996,0.0,1.1102230246251565e-16,9.992007221626409e-16,0.24565532088728248,0.07553858409993296,0.7625133152942327,0.07553858409993298,0.24565532088728229
exact,0.136,0.34240574429745424,4.105376608147013,-1.105376608147018,2.9999999999999956,0.0,1.6653345369377348e-16,1.1102230246251565e-15,0.25869862810710875,0.0803763588041749,0.7502736944608235,0.08037635880417496,0.2586986281071085
exact,0.14,0.32045437248238706,4.168551065713158,-1.1685510657131613,2.9999999999999973,0.0,2.42861286636753e-16,1.1102230246251565e-15,0.27189288193051775,0.0853611233525576,0.7379190093456807,0.0853611233525577,0.27189288193051736
exact,0.14400000000000002,0.29925523787449904,4.23297774272279,-1.2329777427227928,2.9999999999999973,0.0,2.2898349882893854e-16,8.881784197001252e-16,0.28521934620309325,0.09049012684091184,0.7254655205167571,0.09049012684091191,0.28521934620309286
exact,0.148,0.27884212968435146,4.298574189279743,-1.2985741892797464,2.999999999999997,0.0,2.1510571102112408e-16,8.881784197001252e-16,0.2986590867773771,0.09576024935180696,0.7129292839708541,0.095760249351807,0.29865908677737674
