term_ordering,time,tvd_to_exact_hamiltonian,energy_drift,mirror_asymmetry,source_gate_count,source_depth,source_2q_count
current,0.0,9.325873406851315e-15,6.084022174945858e-14,2.9431791684509196e-34,373,268,144
current,0.004,1.375784804928752e-09,8.42155190028393e-09,3.838352037401657e-10,373,268,144
current,0.008,2.2001566316783623e-08,1.3385590014181048e-07,6.1334598250729466e-09,373,268,144
current,0.012,1.1129140696048951e-07,6.70169576277857e-07,3.098406986670266e-08,373,268,144
current,0.016,3.513306909287501e-07,2.0850954105533503e-06,9.763116715175591e-08,373,268,144
current,0.02,8.564679006897432e-07,4.98751209754289e-06,2.3743830495032234e-07,373,268,144
current,0.024,1.772740750908996e-06,1.0082324094273787e-05,4.90032865153216e-07,373,268,144
current,0.028,3.277134290150149e-06,1.811362023396157e-05,9.027947251575349e-07,373,268,144
current,0.032,5.576667729471054e-06,2.979696820126776e-05,1.5302439549044755e-06,373,268,144
current,0.036000000000000004,8.907306054099825e-06,4.574187098915772e-05,2.433334887756884e-06,373,268,144
current,0.04,1.353269142001351e-05,6.636556644590286e-05,3.678665021909517e-06,373,268,144
current,0.044,1.974268868684935e-05,9.179949296544976e-05,5.337608211614109e-06,373,268,144
current,0.048,2.7851738180592703e-05,0.00012178986724364904,7.485382494842006e-06,373,268,144
current,0.052000000000000005,3.819700820935446e-05,0.00015559392811592687,1.0200063658271502e-05,373,268,144
current,0.056,5.1136338862069995e-05,0.00019187348691795947,1.3561556255423275e-05,373,268,144
current,0.06,6.704596779054167e-05,0.00022858749072440787,1.765053426674556e-05,373,268,144
current,0.064,8.631802841707957e-05,0.0002628853525594721,2.2547363901434525e-05,373,268,144
current,0.068,0.00010935781034513393,0.00029100282421223866,2.8331021208104212e-05,373,268,144
current,0.07200000000000001,0.00013694541909821918,0.0003081621911373844,3.507801716271658e-05,373,268,144
current,0.076,0.00016950732801338902,0.00030847854765303495,4.286134275119022e-05,373,268,144
current,0.08,0.00020742234278888362,0.00028487386994413555,5.174944625929018e-05,373,268,144
current,0.084,0.00025119236686569946,0.00022900054074348475,6.180525452884403e-05,373,268,144
current,0.088,0.0003013233577035756,0.0001311758969935184,7.308524934217242e-05,373,268,144
current,0.092,0.00035832061134030924,1.9670731264298524e-05,8.563860936856155e-05,373,268,144
