version,method,num_plaquettes,repetitions,term_ordering,time,max_bond_dimension,truncation_tolerance,runtime_seconds,peak_process_rss_mib,norm_error,state_fidelity_to_ideal_trotter,tvd_to_ideal_trotter,survival_error_to_ideal_trotter,max_occupation_error_to_ideal_trotter,energy_error_to_ideal_trotter,exact_hamiltonian_reference,tvd_to_exact_hamiltonian,survival_error_to_exact_hamiltonian,max_occupation_error_to_exact_hamiltonian,observable_error
v0.3.0,qiskit_aer_matrix_product_state_cpu,5,2,symmetry,0.32,4,1e-14,0.014557871999954841,208.5390625,3.9968028886505635e-15,0.9999999999999853,2.1152337195164128e-10,1.862023122495282e-12,2.0048729343358218e-10,4.672764397639639e-10,True,0.041557417148206606,0.0013191047636301506,0.022954817706744346,4.672764397639639e-10
v0.3.0,qiskit_aer_matrix_product_state_cpu,5,2,symmetry,0.32,8,1e-14,0.015364782000006016,208.5390625,3.9968028886505635e-15,0.9999999999999853,2.1152337195164128e-10,1.862023122495282e-12,2.0048729343358218e-10,4.672764397639639e-10,True,0.041557417148206606,0.0013191047636301506,0.022954817706744346,4.672764397639639e-10
v0.3.0,qiskit_aer_matrix_product_state_cpu,5,2,symmetry,0.32,16,1e-14,0.015648665999947298,208.5390625,3.9968028886505635e-15,0.9999999999999853,2.1152337195164128e-10,1.862023122495282e-12,2.0048729343358218e-10,4.672764397639639e-10,True,0.041557417148206606,0.0013191047636301506,0.022954817706744346,4.672764397639639e-10
v0.3.0,qiskit_aer_matrix_product_state_cpu,5,2,symmetry,0.32,32,1e-14,0.015033861000006254,208.5390625,3.9968028886505635e-15,0.9999999999999853,2.1152337195164128e-10,1.862023122495282e-12,2.0048729343358218e-10,4.672764397639639e-10,True,0.041557417148206606,0.0013191047636301506,0.022954817706744346,4.672764397639639e-10
v0.3.0,qiskit_aer_matrix_product_state_cpu,8,2,symmetry,0.32,4,1e-14,0.05450733600002877,242.09765625,5.893732168971155e-09,0.999997910752119,0.0006085456997841408,2.6541485740095867e-06,9.197406973804334e-06,0.00011451959562913672,True,0.05813105067925001,0.0006804938797451512,0.02669864293094787,0.00011451959562913672
v0.3.0,qiskit_aer_matrix_product_state_cpu,8,2,symmetry,0.32,8,1e-14,0.03567671700000119,242.09765625,6.073475056211919e-12,0.9999999999923612,4.3287277260120496e-07,4.390665035540475e-09,1.0489137336477938e-10,2.60821764186403e-09,True,0.05818113685431955,0.0006831524189841963,0.02669973075142701,2.60821764186403e-09
v0.3.0,qiskit_aer_matrix_product_state_cpu,8,2,symmetry,0.32,16,1e-14,0.03457313800004158,242.09765625,1.5931700403370996e-13,0.9999999999997504,9.598896914554791e-08,9.567314280221895e-11,1.2679024496975444e-10,2.146951061376967e-09,True,0.05818116306491731,0.000683147932646018,0.026699730763647067,2.146951061376967e-09
v0.3.0,qiskit_aer_matrix_product_state_cpu,8,2,symmetry,0.32,32,1e-14,0.031026933000021018,242.09765625,1.5931700403370996e-13,0.9999999999997504,9.598896914554791e-08,9.567314280221895e-11,1.2679024496975444e-10,2.146951061376967e-09,True,0.05818116306491731,0.000683147932646018,0.026699730763647067,2.146951061376967e-09
v0.3.0,qiskit_aer_matrix_product_state_cpu,12,2,symmetry,0.32,4,1e-14,0.03253732600001058,750.68359375,6.732654878049971e-09,0.999997112833493,0.0008196167008689349,2.7764420965821772e-08,9.312651453929899e-06,0.00012080346624232519,False,,,,0.00012080346624232519
v0.3.0,qiskit_aer_matrix_product_state_cpu,12,2,symmetry,0.32,8,1e-14,0.05687661499996466,751.3671875,1.2721046438457506e-11,0.9999999999827676,8.425440054240317e-07,1.2070304129840111e-10,1.0763206992336904e-10,1.7292793863532552e-09,False,,,,1.7292793863532552e-09
v0.3.0,qiskit_aer_matrix_product_state_cpu,12,2,symmetry,0.32,16,1e-14,0.05669773099998565,751.49609375,4.793943020331426e-13,0.9999999999992941,1.891028799284878e-07,1.1377797250362864e-11,7.003997382071248e-11,9.117269161862396e-10,False,,,,9.117269161862396e-10
v0.3.0,qiskit_aer_matrix_product_state_cpu,12,2,symmetry,0.32,32,1e-14,0.05845311300004141,751.50390625,4.793943020331426e-13,0.9999999999992941,1.891028799284878e-07,1.1377797250362864e-11,7.003997382071248e-11,9.117269161862396e-10,False,,,,9.117269161862396e-10
