n,strategy,native_2q_count,verification_error,compile_seconds
2,qiskit,3,2.7320655630339072e-15,0.504250509999963
2,basic,3,2.5559253454202264e-15,0.12868986299997687
2,basic_swaps,3,2.5559253454202264e-15,0.02366054300000542
2,teleport,3,2.987304636342383e-15,0.041019199999993816
2,full_reduce,3,2.148683146181652e-15,0.039711130000000594
2,full_reduce_depth,3,2.148683146181652e-15,0.043021625999983826
3,qiskit,54,6.1447108454119205e-15,0.008001691999993454
3,basic,54,6.057586816911593e-15,0.04119471500001737
3,basic_swaps,54,6.057586816911593e-15,0.04207074700002522
3,teleport,42,5.789416551618992e-15,0.09222863899998401
3,full_reduce,68,6.524287382685052e-15,0.14638123800000358
3,full_reduce_depth,72,6.8127500694485556e-15,0.2116217410000445
5,qiskit,118,9.339792436136597e-15,0.00892178999998805
5,basic,94,1.1004175675096035e-14,0.118786818999979
5,basic_swaps,94,1.1004175675096035e-14,0.1676004349999971
5,teleport,104,1.1237188942256665e-14,0.27987397500004363
5,full_reduce,202,1.0759716576983128e-14,0.3409495159999665
5,full_reduce_depth,194,9.18873053048877e-15,3.9589685039999836
