factor,group,comparisons,status,basic_cases,teleport_cases
layout,"('00dec25597397b2934fb42740994f65c50571551a5090f8e130104971b3c190f', 'grid')",1,INCONCLUSIVE,0,0
layout,"('00dec25597397b2934fb42740994f65c50571551a5090f8e130104971b3c190f', 'heavy_hex_like')",1,INCONCLUSIVE,0,0
layout,"('00dec25597397b2934fb42740994f65c50571551a5090f8e130104971b3c190f', 'irregular')",2,INCONCLUSIVE,0,0
layout,"('00dec25597397b2934fb42740994f65c50571551a5090f8e130104971b3c190f', 'line')",2,INCONCLUSIVE,0,0
layout,"('00dec25597397b2934fb42740994f65c50571551a5090f8e130104971b3c190f', 'ring')",1,INCONCLUSIVE,0,0
layout,"('0fc28dc35599b93623d9613d500225976d3b315fe307e512a0db8d51410569b8', 'grid')",1,INCONCLUSIVE,0,1
layout,"('10c94ee239653a068cec24e35ee4e3d08e1b8af56ad8685361f7159dac9a2303', 'irregular')",1,INCONCLUSIVE,1,0
layout,"('11917b6d9db4ec58f18384b3e34529b1823f5609fb71679e29b7f5856b29e04b', 'grid')",1,INCONCLUSIVE,1,0
layout,"('199175ead0c72935d7a99429464f9050e079ef6f760813698618253a465ecf60', 'irregular')",1,INCONCLUSIVE,1,0
layout,"('1c000dbb03545990843f258f2cd99e62a98221c482c76d7c86deb19993107e91', 'grid')",1,INCONCLUSIVE,1,0
layout,"('2b5e0ed483cc3050468f9dbe07ba775d3779a0f5f0b1d9721b5967992a9fa793', 'grid')",1,INCONCLUSIVE,0,1
layout,"('2b5e0ed483cc3050468f9dbe07ba775d3779a0f5f0b1d9721b5967992a9fa793', 'heavy_hex_like')",1,INCONCLUSIVE,0,1
layout,"('2b5e0ed483cc3050468f9dbe07ba775d3779a0f5f0b1d9721b5967992a9fa793', 'irregular')",2,INCONCLUSIVE,0,2
layout,"('2b5e0ed483cc3050468f9dbe07ba775d3779a0f5f0b1d9721b5967992a9fa793', 'line')",2,INCONCLUSIVE,0,2
layout,"('2b5e0ed483cc3050468f9dbe07ba775d3779a0f5f0b1d9721b5967992a9fa793', 'ring')",1,INCONCLUSIVE,0,1
layout,"('2db9eba90ba8cd0954c12783101856a28b9a2dc7771ca234eecefcf2689ef643', 'line')",1,INCONCLUSIVE,0,1
layout,"('4578146e16dfcf0a3a55a1b3fea16f778ac944886bf5b33e90f7dc227bfcd90d', 'grid')",1,INCONCLUSIVE,1,0
layout,"('4578146e16dfcf0a3a55a1b3fea16f778ac944886bf5b33e90f7dc227bfcd90d', 'heavy_hex_like')",1,INCONCLUSIVE,1,0
layout,"('4578146e16dfcf0a3a55a1b3fea16f778ac944886bf5b33e90f7dc227bfcd90d', 'irregular')",2,INCONCLUSIVE,2,0
layout,"('4578146e16dfcf0a3a55a1b3fea16f778ac944886bf5b33e90f7dc227bfcd90d', 'line')",2,INCONCLUSIVE,2,0
layout,"('4578146e16dfcf0a3a55a1b3fea16f778ac944886bf5b33e90f7dc227bfcd90d', 'ring')",1,INCONCLUSIVE,1,0
layout,"('458db1b65dc833bd8c659df2b45270528a8cfce8db05e426b8a2f00bff2e84f9', 'ring')",1,INCONCLUSIVE,0,1
layout,"('49f9e42949fe44e9cacc4cb550ad5cc71ba965632af7f9c8a4fd8e3384156438', 'grid')",1,INCONCLUSIVE,0,0
layout,"('49f9e42949fe44e9cacc4cb550ad5cc71ba965632af7f9c8a4fd8e3384156438', 'heavy_hex_like')",1,INCONCLUSIVE,0,0
layout,"('49f9e42949fe44e9cacc4cb550ad5cc71ba965632af7f9c8a4fd8e3384156438', 'irregular')",2,INCONCLUSIVE,0,0
layout,"('49f9e42949fe44e9cacc4cb550ad5cc71ba965632af7f9c8a4fd8e3384156438', 'line')",2,INCONCLUSIVE,0,0
layout,"('49f9e42949fe44e9cacc4cb550ad5cc71ba965632af7f9c8a4fd8e3384156438', 'ring')",1,INCONCLUSIVE,0,0
layout,"('667e3a1f084c4e2a3fcd2b6479ca873f035a167fe6bd3dac4cd548625d204592', 'line')",1,INCONCLUSIVE,0,1
layout,"('6a9ea95959ada3b9eb58a4396c3fc46af54caed318314ad360db449a01f90c66', 'grid')",1,INCONCLUSIVE,0,0
layout,"('6a9ea95959ada3b9eb58a4396c3fc46af54caed318314ad360db449a01f90c66', 'heavy_hex_like')",1,INCONCLUSIVE,0,0
layout,"('6a9ea95959ada3b9eb58a4396c3fc46af54caed318314ad360db449a01f90c66', 'irregular')",2,INCONCLUSIVE,0,0
layout,"('6a9ea95959ada3b9eb58a4396c3fc46af54caed318314ad360db449a01f90c66', 'line')",2,INCONCLUSIVE,0,0
layout,"('6a9ea95959ada3b9eb58a4396c3fc46af54caed318314ad360db449a01f90c66', 'ring')",1,INCONCLUSIVE,0,0
layout,"('72b1038facc288285e2702246aec8cb5a5d554250f6dd4647e31f249d53e1c38', 'irregular')",1,INCONCLUSIVE,0,1
layout,"('7e51cc13b595a2c405f4e95cc42eb66be8187f7e9b2846e1655f0c93c77108c8', 'grid')",1,INCONCLUSIVE,1,0
layout,"('7e51cc13b595a2c405f4e95cc42eb66be8187f7e9b2846e1655f0c93c77108c8', 'heavy_hex_like')",1,INCONCLUSIVE,1,0
layout,"('7e51cc13b595a2c405f4e95cc42eb66be8187f7e9b2846e1655f0c93c77108c8', 'irregular')",2,INCONCLUSIVE,2,0
layout,"('7e51cc13b595a2c405f4e95cc42eb66be8187f7e9b2846e1655f0c93c77108c8', 'line')",2,INCONCLUSIVE,2,0
layout,"('7e51cc13b595a2c405f4e95cc42eb66be8187f7e9b2846e1655f0c93c77108c8', 'ring')",1,INCONCLUSIVE,1,0
layout,"('8a9838b475d9bb5d15c2324d44b159fb5c192b8a4ea7b71bf432d0ede311ee02', 'grid')",1,INCONCLUSIVE,0,1
layout,"('8e4246a80f37dc867d0cfe5b703c5e97fe1bd50168e294b8649e2eadb63771f1', 'grid')",1,INCONCLUSIVE,0,1
layout,"('8e4246a80f37dc867d0cfe5b703c5e97fe1bd50168e294b8649e2eadb63771f1', 'heavy_hex_like')",1,INCONCLUSIVE,0,1
layout,"('8e4246a80f37dc867d0cfe5b703c5e97fe1bd50168e294b8649e2eadb63771f1', 'irregular')",2,INCONCLUSIVE,0,2
layout,"('8e4246a80f37dc867d0cfe5b703c5e97fe1bd50168e294b8649e2eadb63771f1', 'line')",2,INCONCLUSIVE,0,2
layout,"('8e4246a80f37dc867d0cfe5b703c5e97fe1bd50168e294b8649e2eadb63771f1', 'ring')",1,INCONCLUSIVE,0,1
layout,"('b4d5502166457832ab5510beca11bf8da7f4721a767e3c0a5898a00a9f9831cd', 'heavy_hex_like')",1,INCONCLUSIVE,0,1
layout,"('b66e78c1f4a10c34763563660201dc843b5e66d635a6c02bb8e10ecf326cfd70', 'irregular')",1,INCONCLUSIVE,1,0
layout,"('b75cbf89649a5d40ee4400d372e6cf3e16e5c828229f394ddf0f65442c3f44a5', 'grid')",1,INCONCLUSIVE,1,0
layout,"('b75cbf89649a5d40ee4400d372e6cf3e16e5c828229f394ddf0f65442c3f44a5', 'heavy_hex_like')",1,INCONCLUSIVE,1,0
layout,"('b75cbf89649a5d40ee4400d372e6cf3e16e5c828229f394ddf0f65442c3f44a5', 'irregular')",2,INCONCLUSIVE,2,0
layout,"('b75cbf89649a5d40ee4400d372e6cf3e16e5c828229f394ddf0f65442c3f44a5', 'line')",2,INCONCLUSIVE,2,0
layout,"('b75cbf89649a5d40ee4400d372e6cf3e16e5c828229f394ddf0f65442c3f44a5', 'ring')",1,INCONCLUSIVE,1,0
layout,"('bc2d5292433dbd57457d4b8e18f32adf5b65f135ba9bc3522cd34066a6aaff03', 'ring')",1,INCONCLUSIVE,0,1
layout,"('d338eb773a8d9b65affd729028e23e9f24e361c2bc1272505190220bc634f90b', 'grid')",1,INCONCLUSIVE,1,0
layout,"('d338eb773a8d9b65affd729028e23e9f24e361c2bc1272505190220bc634f90b', 'heavy_hex_like')",1,INCONCLUSIVE,1,0
layout,"('d338eb773a8d9b65affd729028e23e9f24e361c2bc1272505190220bc634f90b', 'irregular')",2,INCONCLUSIVE,2,0
layout,"('d338eb773a8d9b65affd729028e23e9f24e361c2bc1272505190220bc634f90b', 'line')",2,INCONCLUSIVE,2,0
layout,"('d338eb773a8d9b65affd729028e23e9f24e361c2bc1272505190220bc634f90b', 'ring')",1,INCONCLUSIVE,1,0
layout,"('dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571', 'grid')",1,INCONCLUSIVE,0,1
layout,"('dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571', 'heavy_hex_like')",1,INCONCLUSIVE,0,1
layout,"('dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571', 'irregular')",2,INCONCLUSIVE,0,2
layout,"('dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571', 'line')",2,INCONCLUSIVE,0,2
layout,"('dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571', 'ring')",1,INCONCLUSIVE,0,1
topology,"('00dec25597397b2934fb42740994f65c50571551a5090f8e130104971b3c190f', 'favorable')",2,INCONCLUSIVE,0,0
topology,"('00dec25597397b2934fb42740994f65c50571551a5090f8e130104971b3c190f', 'spread')",2,INCONCLUSIVE,0,0
topology,"('00dec25597397b2934fb42740994f65c50571551a5090f8e130104971b3c190f', 'transpiler')",3,INCONCLUSIVE,0,0
topology,"('0fc28dc35599b93623d9613d500225976d3b315fe307e512a0db8d51410569b8', 'transpiler')",1,INCONCLUSIVE,0,1
topology,"('10c94ee239653a068cec24e35ee4e3d08e1b8af56ad8685361f7159dac9a2303', 'favorable')",1,INCONCLUSIVE,1,0
topology,"('11917b6d9db4ec58f18384b3e34529b1823f5609fb71679e29b7f5856b29e04b', 'transpiler')",1,INCONCLUSIVE,1,0
topology,"('199175ead0c72935d7a99429464f9050e079ef6f760813698618253a465ecf60', 'favorable')",1,INCONCLUSIVE,1,0
topology,"('1c000dbb03545990843f258f2cd99e62a98221c482c76d7c86deb19993107e91', 'transpiler')",1,INCONCLUSIVE,1,0
topology,"('2b5e0ed483cc3050468f9dbe07ba775d3779a0f5f0b1d9721b5967992a9fa793', 'favorable')",2,INCONCLUSIVE,0,2
topology,"('2b5e0ed483cc3050468f9dbe07ba775d3779a0f5f0b1d9721b5967992a9fa793', 'spread')",2,INCONCLUSIVE,0,2
topology,"('2b5e0ed483cc3050468f9dbe07ba775d3779a0f5f0b1d9721b5967992a9fa793', 'transpiler')",3,INCONCLUSIVE,0,3
topology,"('2db9eba90ba8cd0954c12783101856a28b9a2dc7771ca234eecefcf2689ef643', 'favorable')",1,INCONCLUSIVE,0,1
topology,"('4578146e16dfcf0a3a55a1b3fea16f778ac944886bf5b33e90f7dc227bfcd90d', 'favorable')",2,INCONCLUSIVE,2,0
topology,"('4578146e16dfcf0a3a55a1b3fea16f778ac944886bf5b33e90f7dc227bfcd90d', 'spread')",2,INCONCLUSIVE,2,0
topology,"('4578146e16dfcf0a3a55a1b3fea16f778ac944886bf5b33e90f7dc227bfcd90d', 'transpiler')",3,INCONCLUSIVE,3,0
topology,"('458db1b65dc833bd8c659df2b45270528a8cfce8db05e426b8a2f00bff2e84f9', 'transpiler')",1,INCONCLUSIVE,0,1
topology,"('49f9e42949fe44e9cacc4cb550ad5cc71ba965632af7f9c8a4fd8e3384156438', 'favorable')",2,INCONCLUSIVE,0,0
topology,"('49f9e42949fe44e9cacc4cb550ad5cc71ba965632af7f9c8a4fd8e3384156438', 'spread')",2,INCONCLUSIVE,0,0
topology,"('49f9e42949fe44e9cacc4cb550ad5cc71ba965632af7f9c8a4fd8e3384156438', 'transpiler')",3,INCONCLUSIVE,0,0
topology,"('667e3a1f084c4e2a3fcd2b6479ca873f035a167fe6bd3dac4cd548625d204592', 'spread')",1,INCONCLUSIVE,0,1
topology,"('6a9ea95959ada3b9eb58a4396c3fc46af54caed318314ad360db449a01f90c66', 'favorable')",2,INCONCLUSIVE,0,0
topology,"('6a9ea95959ada3b9eb58a4396c3fc46af54caed318314ad360db449a01f90c66', 'spread')",2,INCONCLUSIVE,0,0
topology,"('6a9ea95959ada3b9eb58a4396c3fc46af54caed318314ad360db449a01f90c66', 'transpiler')",3,INCONCLUSIVE,0,0
topology,"('72b1038facc288285e2702246aec8cb5a5d554250f6dd4647e31f249d53e1c38', 'spread')",1,INCONCLUSIVE,0,1
topology,"('7e51cc13b595a2c405f4e95cc42eb66be8187f7e9b2846e1655f0c93c77108c8', 'favorable')",2,INCONCLUSIVE,2,0
topology,"('7e51cc13b595a2c405f4e95cc42eb66be8187f7e9b2846e1655f0c93c77108c8', 'spread')",2,INCONCLUSIVE,2,0
topology,"('7e51cc13b595a2c405f4e95cc42eb66be8187f7e9b2846e1655f0c93c77108c8', 'transpiler')",3,INCONCLUSIVE,3,0
topology,"('8a9838b475d9bb5d15c2324d44b159fb5c192b8a4ea7b71bf432d0ede311ee02', 'transpiler')",1,INCONCLUSIVE,0,1
topology,"('8e4246a80f37dc867d0cfe5b703c5e97fe1bd50168e294b8649e2eadb63771f1', 'favorable')",2,INCONCLUSIVE,0,2
