case_family,cohort,num_plaquettes,term_ordering,target_topology,layout_name,circuit_hash,seeds,status,basic_win_fraction,teleport_win_fraction,tie_fraction,median_delta_2q,mean_delta_2q,median_delta_2q_depth,mean_delta_2q_depth,winner_entropy
00dec25597397b2934fb42740994f65c50571551a5090f8e130104971b3c190f_synthetic_grid_6q_transpiler,prospective,2,current,grid,transpiler,00dec25597397b2934fb42740994f65c50571551a5090f8e130104971b3c190f,5,TIED,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0
00dec25597397b2934fb42740994f65c50571551a5090f8e130104971b3c190f_synthetic_heavy_hex_like_7q_transpiler,prospective,2,current,heavy_hex_like,transpiler,00dec25597397b2934fb42740994f65c50571551a5090f8e130104971b3c190f,5,TIED,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0
00dec25597397b2934fb42740994f65c50571551a5090f8e130104971b3c190f_synthetic_irregular_7q_favorable,prospective,2,current,irregular,favorable,00dec25597397b2934fb42740994f65c50571551a5090f8e130104971b3c190f,5,TIED,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0
00dec25597397b2934fb42740994f65c50571551a5090f8e130104971b3c190f_synthetic_irregular_7q_spread,prospective,2,current,irregular,spread,00dec25597397b2934fb42740994f65c50571551a5090f8e130104971b3c190f,5,TIED,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0
00dec25597397b2934fb42740994f65c50571551a5090f8e130104971b3c190f_synthetic_line_6q_favorable,prospective,2,current,line,favorable,00dec25597397b2934fb42740994f65c50571551a5090f8e130104971b3c190f,5,TIED,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0
00dec25597397b2934fb42740994f65c50571551a5090f8e130104971b3c190f_synthetic_line_6q_spread,prospective,2,current,line,spread,00dec25597397b2934fb42740994f65c50571551a5090f8e130104971b3c190f,5,TIED,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0
00dec25597397b2934fb42740994f65c50571551a5090f8e130104971b3c190f_synthetic_ring_6q_transpiler,prospective,2,current,ring,transpiler,00dec25597397b2934fb42740994f65c50571551a5090f8e130104971b3c190f,5,TIED,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0
0fc28dc35599b93623d9613d500225976d3b315fe307e512a0db8d51410569b8_synthetic_grid_6q_transpiler,robustness,3,current,grid,transpiler,0fc28dc35599b93623d9613d500225976d3b315fe307e512a0db8d51410569b8,5,ROBUST_TELEPORT,0.0,1.0,0.0,-68.0,-68.0,-68.0,-68.0,-0.0
10c94ee239653a068cec24e35ee4e3d08e1b8af56ad8685361f7159dac9a2303_synthetic_irregular_8q_favorable,robustness,6,symmetry,irregular,favorable,10c94ee239653a068cec24e35ee4e3d08e1b8af56ad8685361f7159dac9a2303,5,ROBUST_BASIC,1.0,0.0,0.0,24.0,24.0,22.0,22.0,-0.0
11917b6d9db4ec58f18384b3e34529b1823f5609fb71679e29b7f5856b29e04b_synthetic_grid_8q_transpiler,robustness,6,current,grid,transpiler,11917b6d9db4ec58f18384b3e34529b1823f5609fb71679e29b7f5856b29e04b,5,ROBUST_BASIC,1.0,0.0,0.0,32.0,32.0,44.0,44.0,-0.0
199175ead0c72935d7a99429464f9050e079ef6f760813698618253a465ecf60_synthetic_irregular_7q_favorable,robustness,4,symmetry,irregular,favorable,199175ead0c72935d7a99429464f9050e079ef6f760813698618253a465ecf60,5,ROBUST_BASIC,1.0,0.0,0.0,11.0,11.0,10.0,10.0,-0.0
1c000dbb03545990843f258f2cd99e62a98221c482c76d7c86deb19993107e91_synthetic_grid_8q_transpiler,robustness,6,current,grid,transpiler,1c000dbb03545990843f258f2cd99e62a98221c482c76d7c86deb19993107e91,5,ROBUST_BASIC,1.0,0.0,0.0,54.0,54.0,81.0,81.0,-0.0
2b5e0ed483cc3050468f9dbe07ba775d3779a0f5f0b1d9721b5967992a9fa793_synthetic_grid_6q_transpiler,prospective,4,current,grid,transpiler,2b5e0ed483cc3050468f9dbe07ba775d3779a0f5f0b1d9721b5967992a9fa793,5,ROBUST_TELEPORT,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-0.0
2b5e0ed483cc3050468f9dbe07ba775d3779a0f5f0b1d9721b5967992a9fa793_synthetic_heavy_hex_like_7q_transpiler,prospective,4,current,heavy_hex_like,transpiler,2b5e0ed483cc3050468f9dbe07ba775d3779a0f5f0b1d9721b5967992a9fa793,5,ROBUST_TELEPORT,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-0.0
2b5e0ed483cc3050468f9dbe07ba775d3779a0f5f0b1d9721b5967992a9fa793_synthetic_irregular_7q_favorable,prospective,4,current,irregular,favorable,2b5e0ed483cc3050468f9dbe07ba775d3779a0f5f0b1d9721b5967992a9fa793,5,ROBUST_TELEPORT,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-0.0
2b5e0ed483cc3050468f9dbe07ba775d3779a0f5f0b1d9721b5967992a9fa793_synthetic_irregular_7q_spread,prospective,4,current,irregular,spread,2b5e0ed483cc3050468f9dbe07ba775d3779a0f5f0b1d9721b5967992a9fa793,5,ROBUST_TELEPORT,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-0.0
2b5e0ed483cc3050468f9dbe07ba775d3779a0f5f0b1d9721b5967992a9fa793_synthetic_line_6q_favorable,prospective,4,current,line,favorable,2b5e0ed483cc3050468f9dbe07ba775d3779a0f5f0b1d9721b5967992a9fa793,5,ROBUST_TELEPORT,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-0.0
2b5e0ed483cc3050468f9dbe07ba775d3779a0f5f0b1d9721b5967992a9fa793_synthetic_line_6q_spread,prospective,4,current,line,spread,2b5e0ed483cc3050468f9dbe07ba775d3779a0f5f0b1d9721b5967992a9fa793,5,ROBUST_TELEPORT,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-0.0
2b5e0ed483cc3050468f9dbe07ba775d3779a0f5f0b1d9721b5967992a9fa793_synthetic_ring_6q_transpiler,prospective,4,current,ring,transpiler,2b5e0ed483cc3050468f9dbe07ba775d3779a0f5f0b1d9721b5967992a9fa793,5,ROBUST_TELEPORT,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-0.0
2db9eba90ba8cd0954c12783101856a28b9a2dc7771ca234eecefcf2689ef643_synthetic_line_6q_favorable,robustness,3,current,line,favorable,2db9eba90ba8cd0954c12783101856a28b9a2dc7771ca234eecefcf2689ef643,5,ROBUST_TELEPORT,0.0,1.0,0.0,-4.0,-4.0,-4.0,-4.0,-0.0
4578146e16dfcf0a3a55a1b3fea16f778ac944886bf5b33e90f7dc227bfcd90d_synthetic_grid_6q_transpiler,prospective,4,symmetry,grid,transpiler,4578146e16dfcf0a3a55a1b3fea16f778ac944886bf5b33e90f7dc227bfcd90d,5,ROBUST_BASIC,1.0,0.0,0.0,17.0,17.0,16.0,16.0,-0.0
4578146e16dfcf0a3a55a1b3fea16f778ac944886bf5b33e90f7dc227bfcd90d_synthetic_heavy_hex_like_7q_transpiler,prospective,4,symmetry,heavy_hex_like,transpiler,4578146e16dfcf0a3a55a1b3fea16f778ac944886bf5b33e90f7dc227bfcd90d,5,ROBUST_BASIC,1.0,0.0,0.0,17.0,17.0,16.0,16.0,-0.0
4578146e16dfcf0a3a55a1b3fea16f778ac944886bf5b33e90f7dc227bfcd90d_synthetic_irregular_7q_favorable,prospective,4,symmetry,irregular,favorable,4578146e16dfcf0a3a55a1b3fea16f778ac944886bf5b33e90f7dc227bfcd90d,5,ROBUST_BASIC,1.0,0.0,0.0,17.0,17.0,16.0,16.0,-0.0
4578146e16dfcf0a3a55a1b3fea16f778ac944886bf5b33e90f7dc227bfcd90d_synthetic_irregular_7q_spread,prospective,4,symmetry,irregular,spread,4578146e16dfcf0a3a55a1b3fea16f778ac944886bf5b33e90f7dc227bfcd90d,5,ROBUST_BASIC,1.0,0.0,0.0,17.0,17.0,16.0,16.0,-0.0
4578146e16dfcf0a3a55a1b3fea16f778ac944886bf5b33e90f7dc227bfcd90d_synthetic_line_6q_favorable,prospective,4,symmetry,line,favorable,4578146e16dfcf0a3a55a1b3fea16f778ac944886bf5b33e90f7dc227bfcd90d,5,ROBUST_BASIC,1.0,0.0,0.0,17.0,17.0,16.0,16.0,-0.0
4578146e16dfcf0a3a55a1b3fea16f778ac944886bf5b33e90f7dc227bfcd90d_synthetic_line_6q_spread,prospective,4,symmetry,line,spread,4578146e16dfcf0a3a55a1b3fea16f778ac944886bf5b33e90f7dc227bfcd90d,5,ROBUST_BASIC,1.0,0.0,0.0,17.0,17.0,16.0,16.0,-0.0
4578146e16dfcf0a3a55a1b3fea16f778ac944886bf5b33e90f7dc227bfcd90d_synthetic_ring_6q_transpiler,prospective,4,symmetry,ring,transpiler,4578146e16dfcf0a3a55a1b3fea16f778ac944886bf5b33e90f7dc227bfcd90d,5,ROBUST_BASIC,1.0,0.0,0.0,17.0,17.0,16.0,16.0,-0.0
458db1b65dc833bd8c659df2b45270528a8cfce8db05e426b8a2f00bff2e84f9_synthetic_ring_6q_transpiler,robustness,4,current,ring,transpiler,458db1b65dc833bd8c659df2b45270528a8cfce8db05e426b8a2f00bff2e84f9,5,ROBUST_TELEPORT,0.0,1.0,0.0,-4.0,-4.0,-4.0,-4.0,-0.0
49f9e42949fe44e9cacc4cb550ad5cc71ba965632af7f9c8a4fd8e3384156438_synthetic_grid_6q_transpiler,prospective,2,reversed,grid,transpiler,49f9e42949fe44e9cacc4cb550ad5cc71ba965632af7f9c8a4fd8e3384156438,5,TIED,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0
49f9e42949fe44e9cacc4cb550ad5cc71ba965632af7f9c8a4fd8e3384156438_synthetic_heavy_hex_like_7q_transpiler,prospective,2,reversed,heavy_hex_like,transpiler,49f9e42949fe44e9cacc4cb550ad5cc71ba965632af7f9c8a4fd8e3384156438,5,TIED,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0
49f9e42949fe44e9cacc4cb550ad5cc71ba965632af7f9c8a4fd8e3384156438_synthetic_irregular_7q_favorable,prospective,2,reversed,irregular,favorable,49f9e42949fe44e9cacc4cb550ad5cc71ba965632af7f9c8a4fd8e3384156438,5,TIED,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0
49f9e42949fe44e9cacc4cb550ad5cc71ba965632af7f9c8a4fd8e3384156438_synthetic_irregular_7q_spread,prospective,2,reversed,irregular,spread,49f9e42949fe44e9cacc4cb550ad5cc71ba965632af7f9c8a4fd8e3384156438,5,TIED,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0
49f9e42949fe44e9cacc4cb550ad5cc71ba965632af7f9c8a4fd8e3384156438_synthetic_line_6q_favorable,prospective,2,reversed,line,favorable,49f9e42949fe44e9cacc4cb550ad5cc71ba965632af7f9c8a4fd8e3384156438,5,TIED,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0
49f9e42949fe44e9cacc4cb550ad5cc71ba965632af7f9c8a4fd8e3384156438_synthetic_line_6q_spread,prospective,2,reversed,line,spread,49f9e42949fe44e9cacc4cb550ad5cc71ba965632af7f9c8a4fd8e3384156438,5,TIED,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0
49f9e42949fe44e9cacc4cb550ad5cc71ba965632af7f9c8a4fd8e3384156438_synthetic_ring_6q_transpiler,prospective,2,reversed,ring,transpiler,49f9e42949fe44e9cacc4cb550ad5cc71ba965632af7f9c8a4fd8e3384156438,5,TIED,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0
667e3a1f084c4e2a3fcd2b6479ca873f035a167fe6bd3dac4cd548625d204592_synthetic_line_6q_spread,robustness,3,current,line,spread,667e3a1f084c4e2a3fcd2b6479ca873f035a167fe6bd3dac4cd548625d204592,5,ROBUST_TELEPORT,0.0,1.0,0.0,-12.0,-12.0,-12.0,-12.0,-0.0
6a9ea95959ada3b9eb58a4396c3fc46af54caed318314ad360db449a01f90c66_synthetic_grid_6q_transpiler,prospective,2,symmetry,grid,transpiler,6a9ea95959ada3b9eb58a4396c3fc46af54caed318314ad360db449a01f90c66,5,TIED,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0
6a9ea95959ada3b9eb58a4396c3fc46af54caed318314ad360db449a01f90c66_synthetic_heavy_hex_like_7q_transpiler,prospective,2,symmetry,heavy_hex_like,transpiler,6a9ea95959ada3b9eb58a4396c3fc46af54caed318314ad360db449a01f90c66,5,TIED,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0
6a9ea95959ada3b9eb58a4396c3fc46af54caed318314ad360db449a01f90c66_synthetic_irregular_7q_favorable,prospective,2,symmetry,irregular,favorable,6a9ea95959ada3b9eb58a4396c3fc46af54caed318314ad360db449a01f90c66,5,TIED,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0
6a9ea95959ada3b9eb58a4396c3fc46af54caed318314ad360db449a01f90c66_synthetic_irregular_7q_spread,prospective,2,symmetry,irregular,spread,6a9ea95959ada3b9eb58a4396c3fc46af54caed318314ad360db449a01f90c66,5,TIED,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0
6a9ea95959ada3b9eb58a4396c3fc46af54caed318314ad360db449a01f90c66_synthetic_line_6q_favorable,prospective,2,symmetry,line,favorable,6a9ea95959ada3b9eb58a4396c3fc46af54caed318314ad360db449a01f90c66,5,TIED,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0
6a9ea95959ada3b9eb58a4396c3fc46af54caed318314ad360db449a01f90c66_synthetic_line_6q_spread,prospective,2,symmetry,line,spread,6a9ea95959ada3b9eb58a4396c3fc46af54caed318314ad360db449a01f90c66,5,TIED,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0
6a9ea95959ada3b9eb58a4396c3fc46af54caed318314ad360db449a01f90c66_synthetic_ring_6q_transpiler,prospective,2,symmetry,ring,transpiler,6a9ea95959ada3b9eb58a4396c3fc46af54caed318314ad360db449a01f90c66,5,TIED,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0
72b1038facc288285e2702246aec8cb5a5d554250f6dd4647e31f249d53e1c38_synthetic_irregular_7q_spread,robustness,3,current,irregular,spread,72b1038facc288285e2702246aec8cb5a5d554250f6dd4647e31f249d53e1c38,5,ROBUST_TELEPORT,0.0,1.0,0.0,-12.0,-12.0,-12.0,-12.0,-0.0
7e51cc13b595a2c405f4e95cc42eb66be8187f7e9b2846e1655f0c93c77108c8_synthetic_grid_8q_transpiler,prospective,6,symmetry,grid,transpiler,7e51cc13b595a2c405f4e95cc42eb66be8187f7e9b2846e1655f0c93c77108c8,5,ROBUST_BASIC,1.0,0.0,0.0,36.0,36.0,34.0,34.0,-0.0
7e51cc13b595a2c405f4e95cc42eb66be8187f7e9b2846e1655f0c93c77108c8_synthetic_heavy_hex_like_8q_transpiler,prospective,6,symmetry,heavy_hex_like,transpiler,7e51cc13b595a2c405f4e95cc42eb66be8187f7e9b2846e1655f0c93c77108c8,5,ROBUST_BASIC,1.0,0.0,0.0,36.0,36.0,34.0,34.0,-0.0
7e51cc13b595a2c405f4e95cc42eb66be8187f7e9b2846e1655f0c93c77108c8_synthetic_irregular_8q_favorable,prospective,6,symmetry,irregular,favorable,7e51cc13b595a2c405f4e95cc42eb66be8187f7e9b2846e1655f0c93c77108c8,5,ROBUST_BASIC,1.0,0.0,0.0,36.0,36.0,34.0,34.0,-0.0
7e51cc13b595a2c405f4e95cc42eb66be8187f7e9b2846e1655f0c93c77108c8_synthetic_irregular_8q_spread,prospective,6,symmetry,irregular,spread,7e51cc13b595a2c405f4e95cc42eb66be8187f7e9b2846e1655f0c93c77108c8,5,ROBUST_BASIC,1.0,0.0,0.0,36.0,36.0,31.0,31.4,-0.0
7e51cc13b595a2c405f4e95cc42eb66be8187f7e9b2846e1655f0c93c77108c8_synthetic_line_8q_favorable,prospective,6,symmetry,line,favorable,7e51cc13b595a2c405f4e95cc42eb66be8187f7e9b2846e1655f0c93c77108c8,5,ROBUST_BASIC,1.0,0.0,0.0,36.0,36.0,34.0,34.0,-0.0
7e51cc13b595a2c405f4e95cc42eb66be8187f7e9b2846e1655f0c93c77108c8_synthetic_line_8q_spread,prospective,6,symmetry,line,spread,7e51cc13b595a2c405f4e95cc42eb66be8187f7e9b2846e1655f0c93c77108c8,5,ROBUST_BASIC,1.0,0.0,0.0,36.0,36.0,31.0,31.0,-0.0
