circuit_structure_hash,target_name,delta_native_2q_count,delta_native_2q_depth
22212664afc1417240d2159e660dfd5bef69af78a6080db0f12d8faa91232b09,synthetic_irregular_8q_favorable,24.0,22.0
3d69e26737c19bf3e2d6b9dda6f38e4ad0254fb23cf7fb6c99dd7280a09a7e63,synthetic_grid_8q_transpiler,26.0,34.0
3d69e26737c19bf3e2d6b9dda6f38e4ad0254fb23cf7fb6c99dd7280a09a7e63,synthetic_heavy_hex_like_8q_transpiler,26.0,34.0
3d69e26737c19bf3e2d6b9dda6f38e4ad0254fb23cf7fb6c99dd7280a09a7e63,synthetic_irregular_8q_favorable,26.0,34.0
3d69e26737c19bf3e2d6b9dda6f38e4ad0254fb23cf7fb6c99dd7280a09a7e63,synthetic_irregular_8q_spread,26.0,31.0
3d69e26737c19bf3e2d6b9dda6f38e4ad0254fb23cf7fb6c99dd7280a09a7e63,synthetic_line_8q_favorable,26.0,34.0
3d69e26737c19bf3e2d6b9dda6f38e4ad0254fb23cf7fb6c99dd7280a09a7e63,synthetic_line_8q_spread,26.0,32.0
3d69e26737c19bf3e2d6b9dda6f38e4ad0254fb23cf7fb6c99dd7280a09a7e63,synthetic_ring_8q_transpiler,26.0,34.0
4c02070fde736bde53d19c2818950c4ccec18611744acc48bced18e5d2043a97,synthetic_ring_6q_transpiler,-4.0,-4.0
53c4f0677915c62f9f4a3a2141402bf5759264456ba570678b9a3dd1792b6691,synthetic_heavy_hex_like_7q_transpiler,-16.0,-16.0
5d660df1811b06d2a855b494e5485abcab84c6d43e60a7ab268ab6b05a0fe264,synthetic_grid_6q_transpiler,17.0,16.0
5d660df1811b06d2a855b494e5485abcab84c6d43e60a7ab268ab6b05a0fe264,synthetic_heavy_hex_like_7q_transpiler,17.0,16.0
5d660df1811b06d2a855b494e5485abcab84c6d43e60a7ab268ab6b05a0fe264,synthetic_irregular_7q_favorable,17.0,16.0
5d660df1811b06d2a855b494e5485abcab84c6d43e60a7ab268ab6b05a0fe264,synthetic_irregular_7q_spread,17.0,16.0
5d660df1811b06d2a855b494e5485abcab84c6d43e60a7ab268ab6b05a0fe264,synthetic_line_6q_favorable,17.0,16.0
5d660df1811b06d2a855b494e5485abcab84c6d43e60a7ab268ab6b05a0fe264,synthetic_line_6q_spread,17.0,16.0
5d660df1811b06d2a855b494e5485abcab84c6d43e60a7ab268ab6b05a0fe264,synthetic_ring_6q_transpiler,17.0,16.0
63750b2d38357d5cd9f9fb922cc3dfb8e294b61159a2362da953e87c8d5996e0,synthetic_grid_6q_transpiler,-4.0,-4.0
63750b2d38357d5cd9f9fb922cc3dfb8e294b61159a2362da953e87c8d5996e0,synthetic_heavy_hex_like_7q_transpiler,-4.0,-4.0
63750b2d38357d5cd9f9fb922cc3dfb8e294b61159a2362da953e87c8d5996e0,synthetic_irregular_7q_favorable,-4.0,-4.0
