case_id,num_plaquettes,x,time,repetitions,term_ordering,circuit_hash,circuit_structure_hash,source_gate_count,source_depth,source_1q_count,source_2q_count,pauli_term_count,mean_pauli_weight,interaction_edge_count,interaction_mean_degree,interaction_max_degree,interaction_range,target_node_count,target_edge_count,target_average_degree,target_diameter,target_mean_shortest_path,mapping_mean_interaction_distance,mapping_max_interaction_distance,target_connected,cohort,target_name,target_topology,layout_name,target_kind,target_definition,target_hash,physical_qubits,prior_case_id,mapping_feature_note,case_family,strategy,seed,version,native_2q_count,native_2q_depth,native_depth,estimated_duration,routing_2q_overhead,compile_seconds,verification_result,failure,verification_error,verification_tolerance,verification_method,final_layout,basic_native_2q_count,teleport_native_2q_count,delta_native_2q_count,basic_native_2q_depth,teleport_native_2q_depth,delta_native_2q_depth,basic_estimated_duration,teleport_estimated_duration,delta_estimated_duration,label,lexicographic_label
2db9eba90ba8cd0954c12783101856a28b9a2dc7771ca234eecefcf2689ef643_synthetic_line_6q_favorable_11,3,2.0,0.24,1,current,2db9eba90ba8cd0954c12783101856a28b9a2dc7771ca234eecefcf2689ef643,765e8cc2c75724fb242ba5e1c778dfd8856fe1c57f25e657cf6892bd9d945ec5,91,69,59,32,13,1.6153846153846154,2,1.3333333333333333,2,1,6,5,1.6666666666666667,5,2.333333333333333,1.0,1.0,1,robustness,synthetic_line_6q_favorable,line,favorable,SYNTHETIC_TARGET,"{""edges"": [[0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4]], ""seed"": 7, ""basis"": [""id"", ""rz"", ""sx"", ""x"", ""ecr""], ""nodes"": 6}",ccfecec17e274607ed29176fa4c2a758de445cb0e2e85ddcc1bbcb36bd80dcb3,"[0, 1, 2]",N3_x2_t0.24_r1_current__synthetic_line_6q_favorable__seed7,identity proxy before selection when layout is transpiler,2db9eba90ba8cd0954c12783101856a28b9a2dc7771ca234eecefcf2689ef643_synthetic_line_6q_favorable,basic,11,v0.4.0,28,28,91,1.790074800000001e-05,0,0.0056898240000009,True,,2.8931110483883824e-15,1e-10,logical Operator.equiv + routed zero/3 random states,"[0, 1, 2]",28,24,-4,28,24,-4,1.790074800000001e-05,1.557574200000001e-05,-2.325006000000002e-06,teleport,teleport
2db9eba90ba8cd0954c12783101856a28b9a2dc7771ca234eecefcf2689ef643_synthetic_line_6q_favorable_19,3,2.0,0.24,1,current,2db9eba90ba8cd0954c12783101856a28b9a2dc7771ca234eecefcf2689ef643,765e8cc2c75724fb242ba5e1c778dfd8856fe1c57f25e657cf6892bd9d945ec5,91,69,59,32,13,1.6153846153846154,2,1.3333333333333333,2,1,6,5,1.6666666666666667,5,2.333333333333333,1.0,1.0,1,robustness,synthetic_line_6q_favorable,line,favorable,SYNTHETIC_TARGET,"{""edges"": [[0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4]], ""seed"": 7, ""basis"": [""id"", ""rz"", ""sx"", ""x"", ""ecr""], ""nodes"": 6}",ccfecec17e274607ed29176fa4c2a758de445cb0e2e85ddcc1bbcb36bd80dcb3,"[0, 1, 2]",N3_x2_t0.24_r1_current__synthetic_line_6q_favorable__seed7,identity proxy before selection when layout is transpiler,2db9eba90ba8cd0954c12783101856a28b9a2dc7771ca234eecefcf2689ef643_synthetic_line_6q_favorable,basic,19,v0.4.0,28,28,91,1.790074800000001e-05,0,0.0055076249991543,True,,2.8931110483883824e-15,1e-10,logical Operator.equiv + routed zero/3 random states,"[0, 1, 2]",28,24,-4,28,24,-4,1.790074800000001e-05,1.557574200000001e-05,-2.325006000000002e-06,teleport,teleport
2db9eba90ba8cd0954c12783101856a28b9a2dc7771ca234eecefcf2689ef643_synthetic_line_6q_favorable_29,3,2.0,0.24,1,current,2db9eba90ba8cd0954c12783101856a28b9a2dc7771ca234eecefcf2689ef643,765e8cc2c75724fb242ba5e1c778dfd8856fe1c57f25e657cf6892bd9d945ec5,91,69,59,32,13,1.6153846153846154,2,1.3333333333333333,2,1,6,5,1.6666666666666667,5,2.333333333333333,1.0,1.0,1,robustness,synthetic_line_6q_favorable,line,favorable,SYNTHETIC_TARGET,"{""edges"": [[0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4]], ""seed"": 7, ""basis"": [""id"", ""rz"", ""sx"", ""x"", ""ecr""], ""nodes"": 6}",ccfecec17e274607ed29176fa4c2a758de445cb0e2e85ddcc1bbcb36bd80dcb3,"[0, 1, 2]",N3_x2_t0.24_r1_current__synthetic_line_6q_favorable__seed7,identity proxy before selection when layout is transpiler,2db9eba90ba8cd0954c12783101856a28b9a2dc7771ca234eecefcf2689ef643_synthetic_line_6q_favorable,basic,29,v0.4.0,28,28,91,1.790074800000001e-05,0,0.0058674910033005,True,,2.8931110483883824e-15,1e-10,logical Operator.equiv + routed zero/3 random states,"[0, 1, 2]",28,24,-4,28,24,-4,1.790074800000001e-05,1.557574200000001e-05,-2.325006000000002e-06,teleport,teleport
2db9eba90ba8cd0954c12783101856a28b9a2dc7771ca234eecefcf2689ef643_synthetic_line_6q_favorable_37,3,2.0,0.24,1,current,2db9eba90ba8cd0954c12783101856a28b9a2dc7771ca234eecefcf2689ef643,765e8cc2c75724fb242ba5e1c778dfd8856fe1c57f25e657cf6892bd9d945ec5,91,69,59,32,13,1.6153846153846154,2,1.3333333333333333,2,1,6,5,1.6666666666666667,5,2.333333333333333,1.0,1.0,1,robustness,synthetic_line_6q_favorable,line,favorable,SYNTHETIC_TARGET,"{""edges"": [[0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4]], ""seed"": 7, ""basis"": [""id"", ""rz"", ""sx"", ""x"", ""ecr""], ""nodes"": 6}",ccfecec17e274607ed29176fa4c2a758de445cb0e2e85ddcc1bbcb36bd80dcb3,"[0, 1, 2]",N3_x2_t0.24_r1_current__synthetic_line_6q_favorable__seed7,identity proxy before selection when layout is transpiler,2db9eba90ba8cd0954c12783101856a28b9a2dc7771ca234eecefcf2689ef643_synthetic_line_6q_favorable,basic,37,v0.4.0,28,28,91,1.790074800000001e-05,0,0.0063361909997183,True,,2.8931110483883824e-15,1e-10,logical Operator.equiv + routed zero/3 random states,"[0, 1, 2]",28,24,-4,28,24,-4,1.790074800000001e-05,1.557574200000001e-05,-2.325006000000002e-06,teleport,teleport
2db9eba90ba8cd0954c12783101856a28b9a2dc7771ca234eecefcf2689ef643_synthetic_line_6q_favorable_47,3,2.0,0.24,1,current,2db9eba90ba8cd0954c12783101856a28b9a2dc7771ca234eecefcf2689ef643,765e8cc2c75724fb242ba5e1c778dfd8856fe1c57f25e657cf6892bd9d945ec5,91,69,59,32,13,1.6153846153846154,2,1.3333333333333333,2,1,6,5,1.6666666666666667,5,2.333333333333333,1.0,1.0,1,robustness,synthetic_line_6q_favorable,line,favorable,SYNTHETIC_TARGET,"{""edges"": [[0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4]], ""seed"": 7, ""basis"": [""id"", ""rz"", ""sx"", ""x"", ""ecr""], ""nodes"": 6}",ccfecec17e274607ed29176fa4c2a758de445cb0e2e85ddcc1bbcb36bd80dcb3,"[0, 1, 2]",N3_x2_t0.24_r1_current__synthetic_line_6q_favorable__seed7,identity proxy before selection when layout is transpiler,2db9eba90ba8cd0954c12783101856a28b9a2dc7771ca234eecefcf2689ef643_synthetic_line_6q_favorable,basic,47,v0.4.0,28,28,91,1.790074800000001e-05,0,0.0055069099980755,True,,2.8931110483883824e-15,1e-10,logical Operator.equiv + routed zero/3 random states,"[0, 1, 2]",28,24,-4,28,24,-4,1.790074800000001e-05,1.557574200000001e-05,-2.325006000000002e-06,teleport,teleport
667e3a1f084c4e2a3fcd2b6479ca873f035a167fe6bd3dac4cd548625d204592_synthetic_line_6q_spread_11,3,2.0,0.24,2,current,667e3a1f084c4e2a3fcd2b6479ca873f035a167fe6bd3dac4cd548625d204592,895718eee45a850d435c8240f7a9ee014cfb599978558936fe2e71db8b8c0270,181,137,117,64,13,1.6153846153846154,2,1.3333333333333333,2,1,6,5,1.6666666666666667,5,2.333333333333333,2.5,3.0,1,robustness,synthetic_line_6q_spread,line,spread,SYNTHETIC_TARGET,"{""edges"": [[0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4]], ""seed"": 7, ""basis"": [""id"", ""rz"", ""sx"", ""x"", ""ecr""], ""nodes"": 6}",ccfecec17e274607ed29176fa4c2a758de445cb0e2e85ddcc1bbcb36bd80dcb3,"[0, 2, 5]",N3_x2_t0.24_r2_current__synthetic_line_6q_spread__seed7,identity proxy before selection when layout is transpiler,667e3a1f084c4e2a3fcd2b6479ca873f035a167fe6bd3dac4cd548625d204592_synthetic_line_6q_spread,basic,11,v0.4.0,63,58,196,4.412693999999998e-05,7,0.0068264009969425,True,,6.2075765260929175e-15,1e-10,logical Operator.equiv + routed zero/3 random states,"[1, 2, 3]",63,51,-12,58,46,-12,4.412693999999998e-05,3.4902173999999995e-05,-9.224765999999987e-06,teleport,teleport
667e3a1f084c4e2a3fcd2b6479ca873f035a167fe6bd3dac4cd548625d204592_synthetic_line_6q_spread_19,3,2.0,0.24,2,current,667e3a1f084c4e2a3fcd2b6479ca873f035a167fe6bd3dac4cd548625d204592,895718eee45a850d435c8240f7a9ee014cfb599978558936fe2e71db8b8c0270,181,137,117,64,13,1.6153846153846154,2,1.3333333333333333,2,1,6,5,1.6666666666666667,5,2.333333333333333,2.5,3.0,1,robustness,synthetic_line_6q_spread,line,spread,SYNTHETIC_TARGET,"{""edges"": [[0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4]], ""seed"": 7, ""basis"": [""id"", ""rz"", ""sx"", ""x"", ""ecr""], ""nodes"": 6}",ccfecec17e274607ed29176fa4c2a758de445cb0e2e85ddcc1bbcb36bd80dcb3,"[0, 2, 5]",N3_x2_t0.24_r2_current__synthetic_line_6q_spread__seed7,identity proxy before selection when layout is transpiler,667e3a1f084c4e2a3fcd2b6479ca873f035a167fe6bd3dac4cd548625d204592_synthetic_line_6q_spread,basic,19,v0.4.0,63,58,196,4.412693999999998e-05,7,0.0071054059953894,True,,6.2075765260929175e-15,1e-10,logical Operator.equiv + routed zero/3 random states,"[1, 2, 3]",63,51,-12,58,46,-12,4.412693999999998e-05,3.4902173999999995e-05,-9.224765999999987e-06,teleport,teleport
667e3a1f084c4e2a3fcd2b6479ca873f035a167fe6bd3dac4cd548625d204592_synthetic_line_6q_spread_29,3,2.0,0.24,2,current,667e3a1f084c4e2a3fcd2b6479ca873f035a167fe6bd3dac4cd548625d204592,895718eee45a850d435c8240f7a9ee014cfb599978558936fe2e71db8b8c0270,181,137,117,64,13,1.6153846153846154,2,1.3333333333333333,2,1,6,5,1.6666666666666667,5,2.333333333333333,2.5,3.0,1,robustness,synthetic_line_6q_spread,line,spread,SYNTHETIC_TARGET,"{""edges"": [[0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4]], ""seed"": 7, ""basis"": [""id"", ""rz"", ""sx"", ""x"", ""ecr""], ""nodes"": 6}",ccfecec17e274607ed29176fa4c2a758de445cb0e2e85ddcc1bbcb36bd80dcb3,"[0, 2, 5]",N3_x2_t0.24_r2_current__synthetic_line_6q_spread__seed7,identity proxy before selection when layout is transpiler,667e3a1f084c4e2a3fcd2b6479ca873f035a167fe6bd3dac4cd548625d204592_synthetic_line_6q_spread,basic,29,v0.4.0,63,58,196,4.412693999999998e-05,7,0.0066109800027334,True,,6.2075765260929175e-15,1e-10,logical Operator.equiv + routed zero/3 random states,"[1, 2, 3]",63,51,-12,58,46,-12,4.412693999999998e-05,3.4902173999999995e-05,-9.224765999999987e-06,teleport,teleport
667e3a1f084c4e2a3fcd2b6479ca873f035a167fe6bd3dac4cd548625d204592_synthetic_line_6q_spread_37,3,2.0,0.24,2,current,667e3a1f084c4e2a3fcd2b6479ca873f035a167fe6bd3dac4cd548625d204592,895718eee45a850d435c8240f7a9ee014cfb599978558936fe2e71db8b8c0270,181,137,117,64,13,1.6153846153846154,2,1.3333333333333333,2,1,6,5,1.6666666666666667,5,2.333333333333333,2.5,3.0,1,robustness,synthetic_line_6q_spread,line,spread,SYNTHETIC_TARGET,"{""edges"": [[0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4]], ""seed"": 7, ""basis"": [""id"", ""rz"", ""sx"", ""x"", ""ecr""], ""nodes"": 6}",ccfecec17e274607ed29176fa4c2a758de445cb0e2e85ddcc1bbcb36bd80dcb3,"[0, 2, 5]",N3_x2_t0.24_r2_current__synthetic_line_6q_spread__seed7,identity proxy before selection when layout is transpiler,667e3a1f084c4e2a3fcd2b6479ca873f035a167fe6bd3dac4cd548625d204592_synthetic_line_6q_spread,basic,37,v0.4.0,63,58,196,4.412693999999998e-05,7,0.0066525459988042,True,,6.2075765260929175e-15,1e-10,logical Operator.equiv + routed zero/3 random states,"[1, 2, 3]",63,51,-12,58,46,-12,4.412693999999998e-05,3.4902173999999995e-05,-9.224765999999987e-06,teleport,teleport
667e3a1f084c4e2a3fcd2b6479ca873f035a167fe6bd3dac4cd548625d204592_synthetic_line_6q_spread_47,3,2.0,0.24,2,current,667e3a1f084c4e2a3fcd2b6479ca873f035a167fe6bd3dac4cd548625d204592,895718eee45a850d435c8240f7a9ee014cfb599978558936fe2e71db8b8c0270,181,137,117,64,13,1.6153846153846154,2,1.3333333333333333,2,1,6,5,1.6666666666666667,5,2.333333333333333,2.5,3.0,1,robustness,synthetic_line_6q_spread,line,spread,SYNTHETIC_TARGET,"{""edges"": [[0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4]], ""seed"": 7, ""basis"": [""id"", ""rz"", ""sx"", ""x"", ""ecr""], ""nodes"": 6}",ccfecec17e274607ed29176fa4c2a758de445cb0e2e85ddcc1bbcb36bd80dcb3,"[0, 2, 5]",N3_x2_t0.24_r2_current__synthetic_line_6q_spread__seed7,identity proxy before selection when layout is transpiler,667e3a1f084c4e2a3fcd2b6479ca873f035a167fe6bd3dac4cd548625d204592_synthetic_line_6q_spread,basic,47,v0.4.0,63,58,196,4.412693999999998e-05,7,0.0065309310011798,True,,6.2075765260929175e-15,1e-10,logical Operator.equiv + routed zero/3 random states,"[1, 2, 3]",63,51,-12,58,46,-12,4.412693999999998e-05,3.4902173999999995e-05,-9.224765999999987e-06,teleport,teleport
