model,feature,importance
tree,num_plaquettes,0.0
tree,x,0.0
tree,time,0.0
tree,repetitions,0.0
tree,source_gate_count,0.0
tree,source_depth,0.0
tree,source_2q_count,0.0
tree,interaction_edge_count,0.0
tree,interaction_mean_degree,0.75
tree,interaction_max_degree,0.0
tree,interaction_range,0.0
tree,pauli_term_count,0.0
tree,mean_pauli_weight,0.0
tree,target_node_count,0.0
tree,target_edge_count,0.0
tree,target_average_degree,0.0
tree,target_diameter,0.0
tree,target_mean_shortest_path,0.0
tree,mapping_mean_interaction_distance,0.0
tree,mapping_max_interaction_distance,0.0
tree,term_ordering_current,0.0
tree,term_ordering_reversed,0.0
tree,term_ordering_symmetry,0.25
tree,target_topology_grid,0.0
tree,target_topology_heavy_hex_like,0.0
tree,target_topology_irregular,0.0
tree,target_topology_line,0.0
tree,target_topology_ring,0.0
tree,layout_name_favorable,0.0
tree,layout_name_spread,0.0
tree,layout_name_transpiler,0.0
forest_classifier,num_plaquettes,0.13038063752374407
forest_classifier,x,0.06863873673968732
forest_classifier,time,0.05102154722312792
forest_classifier,repetitions,0.0016680924155310782
forest_classifier,source_gate_count,0.009489612543308545
forest_classifier,source_depth,0.010945710187986415
forest_classifier,source_2q_count,0.018292908619328755
forest_classifier,interaction_edge_count,0.10305587193107425
forest_classifier,interaction_mean_degree,0.09354317675295247
forest_classifier,interaction_max_degree,0.0
forest_classifier,interaction_range,0.0
forest_classifier,pauli_term_count,0.167430897572814
forest_classifier,mean_pauli_weight,0.11333561697668267
forest_classifier,target_node_count,0.02601315535104621
forest_classifier,target_edge_count,0.06850937842971815
forest_classifier,target_average_degree,0.008044167752536167
forest_classifier,target_diameter,0.002927988554473169
forest_classifier,target_mean_shortest_path,0.0007045794790435224
forest_classifier,mapping_mean_interaction_distance,0.007670083588216812
forest_classifier,mapping_max_interaction_distance,0.01025846108539137
forest_classifier,term_ordering_current,0.0026431226672557046
forest_classifier,term_ordering_reversed,0.01031299879390504
forest_classifier,term_ordering_symmetry,0.07879176925476401
forest_classifier,target_topology_grid,0.00048801292619112116
forest_classifier,target_topology_heavy_hex_like,0.0
forest_classifier,target_topology_irregular,0.003650686381514889
forest_classifier,target_topology_line,0.0004748418675030623
forest_classifier,target_topology_ring,0.0
forest_classifier,layout_name_favorable,0.008513472153586624
forest_classifier,layout_name_spread,0.0016897190348209613
forest_classifier,layout_name_transpiler,0.0015047541937955038
forest_delta_regressor,num_plaquettes,0.12088961854772969
forest_delta_regressor,x,0.009460115502377034
forest_delta_regressor,time,0.006970485524067265
forest_delta_regressor,repetitions,0.04417495206613885
forest_delta_regressor,source_gate_count,0.07021273925321779
forest_delta_regressor,source_depth,0.06862131375390759
forest_delta_regressor,source_2q_count,0.06846225901000208
forest_delta_regressor,interaction_edge_count,0.11988766326600737
forest_delta_regressor,interaction_mean_degree,0.12375909872799716
forest_delta_regressor,interaction_max_degree,0.0
forest_delta_regressor,interaction_range,0.0
forest_delta_regressor,pauli_term_count,0.1799838500363705
forest_delta_regressor,mean_pauli_weight,0.13086872628482643
forest_delta_regressor,target_node_count,0.00245263634667244
forest_delta_regressor,target_edge_count,0.0049789320190247715
forest_delta_regressor,target_average_degree,0.004723510136868319
forest_delta_regressor,target_diameter,8.10454107362688e-05
forest_delta_regressor,target_mean_shortest_path,0.011648451466806074
forest_delta_regressor,mapping_mean_interaction_distance,0.008132495951196176
forest_delta_regressor,mapping_max_interaction_distance,0.002670298948314366
forest_delta_regressor,term_ordering_current,0.0005444271254917584
forest_delta_regressor,term_ordering_reversed,0.000477862869593525
forest_delta_regressor,term_ordering_symmetry,0.00451478683625912
forest_delta_regressor,target_topology_grid,0.004963482113470262
forest_delta_regressor,target_topology_heavy_hex_like,0.00017573396999599544
forest_delta_regressor,target_topology_irregular,0.001114950191528092
forest_delta_regressor,target_topology_line,4.268187573401279e-05
forest_delta_regressor,target_topology_ring,0.0037097017560939003
forest_delta_regressor,layout_name_favorable,0.0015277611215721697
forest_delta_regressor,layout_name_spread,0.0003124611500754673
forest_delta_regressor,layout_name_transpiler,0.004637958737925704
