validation,fold,case_id,role
prospective,0,2db9eba90ba8cd0954c12783101856a28b9a2dc7771ca234eecefcf2689ef643_synthetic_line_6q_favorable_11,train
prospective,0,2db9eba90ba8cd0954c12783101856a28b9a2dc7771ca234eecefcf2689ef643_synthetic_line_6q_favorable_19,train
prospective,0,2db9eba90ba8cd0954c12783101856a28b9a2dc7771ca234eecefcf2689ef643_synthetic_line_6q_favorable_29,train
prospective,0,2db9eba90ba8cd0954c12783101856a28b9a2dc7771ca234eecefcf2689ef643_synthetic_line_6q_favorable_37,train
prospective,0,2db9eba90ba8cd0954c12783101856a28b9a2dc7771ca234eecefcf2689ef643_synthetic_line_6q_favorable_47,train
prospective,0,667e3a1f084c4e2a3fcd2b6479ca873f035a167fe6bd3dac4cd548625d204592_synthetic_line_6q_spread_11,train
prospective,0,667e3a1f084c4e2a3fcd2b6479ca873f035a167fe6bd3dac4cd548625d204592_synthetic_line_6q_spread_19,train
prospective,0,667e3a1f084c4e2a3fcd2b6479ca873f035a167fe6bd3dac4cd548625d204592_synthetic_line_6q_spread_29,train
prospective,0,667e3a1f084c4e2a3fcd2b6479ca873f035a167fe6bd3dac4cd548625d204592_synthetic_line_6q_spread_37,train
prospective,0,667e3a1f084c4e2a3fcd2b6479ca873f035a167fe6bd3dac4cd548625d204592_synthetic_line_6q_spread_47,train
prospective,0,bc2d5292433dbd57457d4b8e18f32adf5b65f135ba9bc3522cd34066a6aaff03_synthetic_ring_6q_transpiler_11,train
prospective,0,bc2d5292433dbd57457d4b8e18f32adf5b65f135ba9bc3522cd34066a6aaff03_synthetic_ring_6q_transpiler_19,train
prospective,0,bc2d5292433dbd57457d4b8e18f32adf5b65f135ba9bc3522cd34066a6aaff03_synthetic_ring_6q_transpiler_29,train
prospective,0,bc2d5292433dbd57457d4b8e18f32adf5b65f135ba9bc3522cd34066a6aaff03_synthetic_ring_6q_transpiler_37,train
prospective,0,bc2d5292433dbd57457d4b8e18f32adf5b65f135ba9bc3522cd34066a6aaff03_synthetic_ring_6q_transpiler_47,train
prospective,0,0fc28dc35599b93623d9613d500225976d3b315fe307e512a0db8d51410569b8_synthetic_grid_6q_transpiler_11,train
prospective,0,0fc28dc35599b93623d9613d500225976d3b315fe307e512a0db8d51410569b8_synthetic_grid_6q_transpiler_19,train
prospective,0,0fc28dc35599b93623d9613d500225976d3b315fe307e512a0db8d51410569b8_synthetic_grid_6q_transpiler_29,train
prospective,0,0fc28dc35599b93623d9613d500225976d3b315fe307e512a0db8d51410569b8_synthetic_grid_6q_transpiler_37,train
prospective,0,0fc28dc35599b93623d9613d500225976d3b315fe307e512a0db8d51410569b8_synthetic_grid_6q_transpiler_47,train
prospective,0,b4d5502166457832ab5510beca11bf8da7f4721a767e3c0a5898a00a9f9831cd_synthetic_heavy_hex_like_7q_transpiler_11,train
prospective,0,b4d5502166457832ab5510beca11bf8da7f4721a767e3c0a5898a00a9f9831cd_synthetic_heavy_hex_like_7q_transpiler_19,train
prospective,0,b4d5502166457832ab5510beca11bf8da7f4721a767e3c0a5898a00a9f9831cd_synthetic_heavy_hex_like_7q_transpiler_29,train
prospective,0,b4d5502166457832ab5510beca11bf8da7f4721a767e3c0a5898a00a9f9831cd_synthetic_heavy_hex_like_7q_transpiler_37,train
prospective,0,b4d5502166457832ab5510beca11bf8da7f4721a767e3c0a5898a00a9f9831cd_synthetic_heavy_hex_like_7q_transpiler_47,train
prospective,0,72b1038facc288285e2702246aec8cb5a5d554250f6dd4647e31f249d53e1c38_synthetic_irregular_7q_spread_11,train
prospective,0,72b1038facc288285e2702246aec8cb5a5d554250f6dd4647e31f249d53e1c38_synthetic_irregular_7q_spread_19,train
prospective,0,72b1038facc288285e2702246aec8cb5a5d554250f6dd4647e31f249d53e1c38_synthetic_irregular_7q_spread_29,train
prospective,0,72b1038facc288285e2702246aec8cb5a5d554250f6dd4647e31f249d53e1c38_synthetic_irregular_7q_spread_37,train
prospective,0,72b1038facc288285e2702246aec8cb5a5d554250f6dd4647e31f249d53e1c38_synthetic_irregular_7q_spread_47,train
prospective,0,458db1b65dc833bd8c659df2b45270528a8cfce8db05e426b8a2f00bff2e84f9_synthetic_ring_6q_transpiler_11,train
prospective,0,458db1b65dc833bd8c659df2b45270528a8cfce8db05e426b8a2f00bff2e84f9_synthetic_ring_6q_transpiler_19,train
prospective,0,458db1b65dc833bd8c659df2b45270528a8cfce8db05e426b8a2f00bff2e84f9_synthetic_ring_6q_transpiler_29,train
prospective,0,458db1b65dc833bd8c659df2b45270528a8cfce8db05e426b8a2f00bff2e84f9_synthetic_ring_6q_transpiler_37,train
prospective,0,458db1b65dc833bd8c659df2b45270528a8cfce8db05e426b8a2f00bff2e84f9_synthetic_ring_6q_transpiler_47,train
prospective,0,8a9838b475d9bb5d15c2324d44b159fb5c192b8a4ea7b71bf432d0ede311ee02_synthetic_grid_6q_transpiler_11,train
prospective,0,8a9838b475d9bb5d15c2324d44b159fb5c192b8a4ea7b71bf432d0ede311ee02_synthetic_grid_6q_transpiler_19,train
prospective,0,8a9838b475d9bb5d15c2324d44b159fb5c192b8a4ea7b71bf432d0ede311ee02_synthetic_grid_6q_transpiler_29,train
prospective,0,8a9838b475d9bb5d15c2324d44b159fb5c192b8a4ea7b71bf432d0ede311ee02_synthetic_grid_6q_transpiler_37,train
prospective,0,8a9838b475d9bb5d15c2324d44b159fb5c192b8a4ea7b71bf432d0ede311ee02_synthetic_grid_6q_transpiler_47,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_line_6q_favorable_11,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_line_6q_favorable_19,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_line_6q_favorable_29,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_line_6q_favorable_37,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_line_6q_favorable_47,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_line_6q_spread_11,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_line_6q_spread_19,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_line_6q_spread_29,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_line_6q_spread_37,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_line_6q_spread_47,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_ring_6q_transpiler_11,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_ring_6q_transpiler_19,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_ring_6q_transpiler_29,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_ring_6q_transpiler_37,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_ring_6q_transpiler_47,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_grid_6q_transpiler_11,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_grid_6q_transpiler_19,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_grid_6q_transpiler_29,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_grid_6q_transpiler_37,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_grid_6q_transpiler_47,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_heavy_hex_like_7q_transpiler_11,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_heavy_hex_like_7q_transpiler_19,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_heavy_hex_like_7q_transpiler_29,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_heavy_hex_like_7q_transpiler_37,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_heavy_hex_like_7q_transpiler_47,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_irregular_7q_favorable_11,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_irregular_7q_favorable_19,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_irregular_7q_favorable_29,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_irregular_7q_favorable_37,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_irregular_7q_favorable_47,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_irregular_7q_spread_11,train
prospective,0,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_irregular_7q_spread_19,train
