validation,model,strategy_accuracy,balanced_accuracy,confusion_matrix,mean_regret,median_regret,worst_regret,oracle_match_fraction,mean_native_2q_penalty_vs_oracle
prospective,logistic,0.5714285714285714,0.5952380952380952,"[[110, 30, 0], [0, 70, 0], [0, 105, 0]]",0.024954265119896592,0.0,0.2698412698412698,0.9047619047619048,1.619047619047619
prospective,tree,0.6666666666666666,0.6666666666666666,"[[140, 0, 0], [0, 70, 0], [35, 70, 0]]",0.0,0.0,0.0,1.0,0.0
prospective,forest_classifier,0.5555555555555556,0.5833333333333334,"[[105, 35, 0], [0, 70, 0], [0, 105, 0]]",0.02923745987928183,0.0,0.2698412698412698,0.8888888888888888,1.8888888888888888
prospective,forest_delta_regressor,0.5555555555555556,0.5833333333333334,"[[105, 35, 0], [0, 70, 0], [0, 105, 0]]",0.02923745987928183,0.0,0.2698412698412698,0.8888888888888888,1.8888888888888888
prospective,always_basic,0.4444444444444444,0.3333333333333333,"[[140, 0, 0], [70, 0, 0], [105, 0, 0]]",0.008966498687387041,0.0,0.061224489795918366,0.7777777777777778,0.8888888888888888
prospective,always_teleport,0.2222222222222222,0.3333333333333333,"[[0, 140, 0], [0, 70, 0], [0, 105, 0]]",0.08187521906456609,0.0,0.29508196721311475,0.5555555555555556,9.88888888888889
prospective,majority,0.2222222222222222,0.3333333333333333,"[[0, 140, 0], [0, 70, 0], [0, 105, 0]]",0.08187521906456609,0.0,0.29508196721311475,0.5555555555555556,9.88888888888889
prospective,frozen_rule,0.4444444444444444,0.3333333333333333,"[[140, 0, 0], [70, 0, 0], [70, 35, 0]]",0.008966498687387041,0.0,0.061224489795918366,0.7777777777777778,0.8888888888888888
prospective,oracle,1.0,1.0,"[[140, 0, 0], [0, 70, 0], [0, 0, 105]]",0.0,0.0,0.0,1.0,0.0
structural_family,logistic,1.0,1.0,"[[25, 0, 0], [0, 75, 0], [0, 0, 0]]",0.0,0.0,0.0,1.0,0.0
structural_family,tree,0.85,0.8333333333333334,"[[20, 5, 0], [10, 65, 0], [0, 0, 0]]",0.018434576847709546,0.0,0.2558139534883721,0.85,0.95
structural_family,forest_classifier,0.9,0.8666666666666667,"[[20, 5, 0], [5, 70, 0], [0, 0, 0]]",0.01573187414500684,0.0,0.2558139534883721,0.9,0.75
structural_family,forest_delta_regressor,0.8,0.7333333333333334,"[[15, 10, 0], [10, 65, 0], [0, 0, 0]]",0.027975376196990424,0.0,0.2558139534883721,0.8,1.75
structural_family,always_basic,0.25,0.5,"[[25, 0, 0], [75, 0, 0], [0, 0, 0]]",0.12639360063769503,0.058823529411764705,0.5142857142857142,0.25,9.6
structural_family,always_teleport,0.75,0.5,"[[0, 25, 0], [0, 75, 0], [0, 0, 0]]",0.04894039959624861,0.0,0.2926829268292683,0.75,6.85
structural_family,majority,0.75,0.5,"[[0, 25, 0], [0, 75, 0], [0, 0, 0]]",0.04894039959624861,0.0,0.2926829268292683,0.75,6.85
structural_family,frozen_rule,0.5,0.6666666666666666,"[[25, 0, 0], [50, 25, 0], [0, 0, 0]]",0.04413761373589207,0.015873015873015872,0.4,0.5,3.0
structural_family,oracle,1.0,1.0,"[[25, 0, 0], [0, 75, 0], [0, 0, 0]]",0.0,0.0,0.0,1.0,0.0
leave_one_size_out,logistic,0.9,0.8,"[[15, 10, 0], [0, 75, 0], [0, 0, 0]]",0.012213229998971226,0.0,0.1322314049586777,0.9,4.3
leave_one_size_out,tree,0.45,0.5,"[[15, 10, 0], [45, 30, 0], [0, 0, 0]]",0.036350843734863296,0.0402632597754549,0.1322314049586777,0.45,6.5
leave_one_size_out,forest_classifier,0.85,0.7,"[[10, 15, 0], [0, 75, 0], [0, 0, 0]]",0.025003927673389836,0.0,0.2558139534883721,0.85,4.85
leave_one_size_out,forest_delta_regressor,0.85,0.7,"[[10, 15, 0], [0, 75, 0], [0, 0, 0]]",0.025003927673389836,0.0,0.2558139534883721,0.85,4.85
leave_one_size_out,always_basic,0.25,0.5,"[[25, 0, 0], [75, 0, 0], [0, 0, 0]]",0.12639360063769503,0.058823529411764705,0.5142857142857142,0.25,9.6
leave_one_size_out,always_teleport,0.75,0.5,"[[0, 25, 0], [0, 75, 0], [0, 0, 0]]",0.04894039959624861,0.0,0.2926829268292683,0.75,6.85
leave_one_size_out,majority,0.75,0.5,"[[0, 25, 0], [0, 75, 0], [0, 0, 0]]",0.04894039959624861,0.0,0.2926829268292683,0.75,6.85
leave_one_size_out,frozen_rule,0.5,0.6666666666666666,"[[25, 0, 0], [50, 25, 0], [0, 0, 0]]",0.04413761373589207,0.015873015873015872,0.4,0.5,3.0
