r,observable,source,stage,bootstrap_se,predicted_se,ratio,pooled_variance,structural_zero
0,P_surv,EMULATED,pre-fix,0.00012171562814335978,0.0017204332950417004,0.07074707778217557,0.05112173567755423,False
0,P_meson,EMULATED,pre-fix,0.0,0.0,,0.0,True
0,P_BBbar,EMULATED,pre-fix,0.00012171562814335495,0.0017204332950417004,0.07074707778217276,0.05112173567755423,False
0,P_other,EMULATED,pre-fix,0.0,0.0,,0.0,True
0,P_stretched,EMULATED,pre-fix,0.00012171562814335978,0.0017204332950417004,0.07074707778217557,0.05112173567755423,False
0,P_short,EMULATED,pre-fix,0.0,0.0,,0.0,True
0,E2_l1,EMULATED,pre-fix,1.7849116333006047e-08,0.00010859258357589412,0.00016436772885628515,0.0002036714918533686,False
0,E2_l2,EMULATED,pre-fix,1.9634027966000262e-07,0.0003595077499763049,0.0005461364314759372,0.0022322684800646143,False
0,E2_l3,EMULATED,pre-fix,1.0537770608914909e-17,0.0,,0.0,True
0,E2_l4,EMULATED,pre-fix,1.0537770608914909e-17,0.0,,0.0,True
0,n_v1,EMULATED,pre-fix,2.3798821782297693e-08,0.00014479011143452548,0.00016436772889051607,0.0003620826521837664,False
0,n_v2,EMULATED,pre-fix,2.855858613624416e-07,0.0005005670876603063,0.0005705246477496045,0.004327673574850658,False
0,n_v3,EMULATED,pre-fix,0.0001578141747885168,0.0017281606803844717,0.0913191560135526,0.05158199707105336,False
0,n_v4,EMULATED,pre-fix,0.0001309642355129485,0.0029082033443886012,0.045032695449458475,0.14607619644346512,False
0,dC,EMULATED,pre-fix,1.784911633024852e-07,0.00037567562510631487,0.0004751204267031507,0.002437563557982471,False
