g2,m,t_b,W_bar,P_meson_avg,P_BBbar_avg
1,0,0.9,0.6770746852,0.03011496745,0.6469597178
1,0.02083333333,0.9,0.6722838372,0.02982123806,0.6424625991
1,0.04166666667,0.9,0.665111562,0.02984448079,0.6352670812
1,0.0625,0.9,0.6569901562,0.0295626865,0.6274274697
1,0.08333333333,0.9,0.6507172855,0.02875344014,0.6219638454
1,0.1041666667,0.9,0.646025794,0.02751969428,0.6185060997
1,0.125,0.9,0.6421995403,0.02609761998,0.6161019203
1,0.1458333333,0.9,0.6389228745,0.02502283833,0.6139000361
1,0.1666666667,0.9,0.6356834696,0.02425630999,0.6114271596
1,0.1875,0.9,0.6327807943,0.02412159903,0.6086591953
1,0.2083333333,0.9,0.629450713,0.02459333324,0.6048573797
1,0.2291666667,0.9,0.6258101449,0.02538012301,0.6004300219
1,0.25,0.9,0.6225394792,0.02668515535,0.5958543238
1,0.2708333333,0.9,0.6205636239,0.02831798914,0.5922456347
1,0.2916666667,0.9,0.6197294234,0.02993104965,0.5897983737
1,0.3125,0.9,0.6191680046,0.03109811097,0.5880698936
1,0.3333333333,0.9,0.6170300838,0.0312970648,0.585733019
1,0.3541666667,0.9,0.6126271444,0.03129892504,0.5813282194
1,0.375,0.9,0.6102806851,0.0322945319,0.5779861532
1,0.3958333333,0.9,0.6140503217,0.03383777985,0.5802125418
1,0.4166666667,0.9,0.6166578257,0.03533128009,0.5813265456
1,0.4375,0.9,0.6150690397,0.03739588964,0.57767315
1,0.4583333333,0.9,0.61567816,0.04031370738,0.5753644526
1,0.4791666667,0.9,0.6142852842,0.04382869031,0.5704565939
1,0.5,0.9,0.6113914751,0.04720408023,0.5641873949
2,0,0.9,0.6532957592,0.02649917266,0.6267965865
2,0.04166666667,0.9,0.6511871705,0.02661586074,0.6245713098
2,0.08333333333,0.9,0.6585520355,0.02871615086,0.6298358846
2,0.125,0.9,0.6601838603,0.02947005201,0.6307138083
2,0.1666666667,0.9,0.6513599864,0.02748824125,0.6238717451
2,0.2083333333,0.9,0.6455415339,0.02535952316,0.6201820107
2,0.25,0.9,0.6430962736,0.0244404002,0.6186558734
2,0.2916666667,0.9,0.6386748851,0.02484713841,0.6138277467
2,0.3333333333,0.9,0.6368644557,0.02712336524,0.6097410905
2,0.375,0.9,0.6346801013,0.03104410325,0.603635998
2,0.4166666667,0.9,0.6354639443,0.03641700257,0.5990469417
2,0.4583333333,0.9,0.6305668219,0.0423440111,0.5882228108
2,0.5,0.9,0.6184335527,0.0487089455,0.5697246072
2,0.5416666667,0.9,0.6062511764,0.0577841682,0.5484670082
2,0.5833333333,0.9,0.5948104467,0.06714749232,0.5276629543
2,0.625,1,0.5725840782,0.07122200163,0.5013620765
2,0.6666666667,1,0.5397545982,0.0723552569,0.4673993413
2,0.7083333333,1,0.5063749244,0.07446815852,0.4319067659
2,0.75,1,0.4897740601,0.07611055707,0.4136635031
2,0.7916666667,1,0.4690071371,0.07470423485,0.3943029022
2,0.8333333333,1,0.4456840673,0.07412533523,0.371558732
2,0.875,1,0.438366096,0.06974853086,0.3686175652
2,0.9166666667,1,0.4366052307,0.06387894062,0.3727262901
2,0.9583333333,1,0.4271652143,0.06398355577,0.3631816586
2,1,1,0.3996712188,0.06772707802,0.3319441408
4,0,1,0.6432674369,0.05718651607,0.5860809208
4,0.08333333333,1,0.5262043008,0.05589317672,0.470311124
4,0.1666666667,1,0.4988318712,0.07523937154,0.4235924996
4,0.25,1,0.4986295688,0.08317254298,0.4154570258
4,0.3333333333,1,0.529299154,0.08501112234,0.4442880316
4,0.4166666667,1,0.5490307012,0.07478820466,0.4742424965
4,0.5,1,0.5882749203,0.06398386853,0.5242910518
4,0.5833333333,1,0.5990041567,0.0452814938,0.5537226629
4,0.6666666667,1,0.6079593794,0.03157412789,0.5763852515
4,0.75,1,0.6093494601,0.03266987261,0.5766795875
4,0.8333333333,1,0.6050832675,0.04719981278,0.5578834547
4,0.9166666667,1,0.6053463346,0.07145514565,0.533891189
4,1,1,0.582267222,0.08788829312,0.4943789289
4,1.083333333,1,0.523235117,0.09386675473,0.4293683623
4,1.166666667,1,0.4661397857,0.09106530338,0.3750744823
4,1.25,1,0.4201228575,0.0882212472,0.3319016103
4,1.333333333,1.1,0.3778094097,0.08285549808,0.2949539117
4,1.416666667,1.1,0.337346018,0.07558419277,0.2617618252
4,1.5,1.1,0.3011111891,0.06859625849,0.2325149306
4,1.583333333,1.2,0.2685439552,0.06237075536,0.2061731999
4,1.666666667,1.3,0.2395902681,0.05681270075,0.1827775673
4,1.75,7.6,0.2141688486,0.05129768433,0.1628711643
4,1.833333333,9.8,0.1920832523,0.0457999352,0.1462833171
4,1.916666667,11.7,0.173059372,0.04081742607,0.132241946
4,2,11.4,0.1569833935,0.03675259611,0.1202307974
8,0,8.9,0.616508122,0.02788216012,0.5886259619
8,0.1666666667,9.9,0.1739760121,0.03493549226,0.1390405199
8,0.3333333333,8.5,0.1994928605,0.04697783902,0.1525150215
8,0.5,1.3,0.2443633625,0.06226774945,0.182095613
8,0.6666666667,1.1,0.3059801281,0.08244741644,0.2235327117
8,0.8333333333,1.1,0.379925609,0.1026571699,0.2772684391
8,1,1,0.4701539437,0.1191714501,0.3509824936
8,1.166666667,1,0.5359419824,0.09931203043,0.436629952
8,1.333333333,1,0.5468050979,0.05443627665,0.4923688212
8,1.5,1,0.5479957109,0.03153596596,0.516459745
8,1.666666667,1,0.6025290059,0.06942230363,0.5331067023
8,1.833333333,1,0.5404964235,0.1025098693,0.4379865542
8,2,1.1,0.4329891285,0.09846318076,0.3345259478
8,2.166666667,1.1,0.342384895,0.08413711038,0.2582477847
8,2.333333333,1.2,0.2723662772,0.06949063769,0.2028756396
8,2.5,1.4,0.2174050241,0.05533300189,0.1620720222
8,2.666666667,9.2,0.1752927806,0.04578288642,0.1295098942
8,2.833333333,12.3,0.1427403785,0.03811425716,0.1046261213
8,3,13.4,0.1176263077,0.03097442597,0.08665188174
8,3.166666667,15.6,0.09837599337,0.02537782797,0.0729981654
8,3.333333333,17.5,0.08354034807,0.02158718556,0.06195316251
8,3.5,18.2,0.07188668738,0.01900546613,0.05288122125
8,3.666666667,20.7,0.06249803468,0.01699028879,0.04550774589
8,3.833333333,22,0.05476236378,0.01519044117,0.03957192261
8,4,23.3,0.04829789538,0.01350212142,0.03479577396
