t,P_stretched,P_short,P_surv,P_meson,P_BBbar,P_other,E2_l1,E2_l2,E2_l3,E2_l4,n_v1,n_v2,n_v3,n_v4,energy
0,1,1.255648911e-32,1,3.242292905e-29,1.337168832e-27,8.324040797e-28,8.641685718e-28,0.75,0.75,0.75,1,1,1.552533322e-27,2,3
0.1,0.9911422135,0.0001527635153,0.991294977,0.00123159355,0.006219427885,0.001254001584,0.001980783596,0.7480099519,0.7489463096,0.7480099519,1.002482494,0.9975175056,0.00374665297,1.996253347,3
0.2,0.9651403006,0.0005709588623,0.9657112595,0.004714101554,0.0245152325,0.005059406438,0.007790580342,0.7420663093,0.7457972773,0.7420663093,1.00972335,0.99027665,0.01494691324,1.985053087,3
0.3,0.9236353845,0.001146610357,0.9247819948,0.009870965174,0.05383242028,0.01151461972,0.01706190591,0.7322539355,0.7405890412,0.7322539355,1.021127759,0.9788722412,0.03348502361,1.966514976,3
0.4,0.8691340817,0.001736377014,0.8708704587,0.01591807685,0.09251801903,0.02069344543,0.02927150449,0.7187274241,0.7333791387,0.7187274241,1.0357837,0.9642162998,0.05917831694,1.940821683,3
0.5,0.8047147449,0.002202699314,0.8069174442,0.02205752902,0.1384694378,0.03255558903,0.04384024491,0.7017175477,0.7242353532,0.7017175477,1.052567085,0.9474329149,0.0917900187,1.908209981,3
0.6,0.7336986749,0.002449352575,0.7361480275,0.02764330654,0.1893230777,0.04688558822,0.06022273303,0.6815230992,0.7132131935,0.6815230992,1.070264673,0.929735327,0.1310432864,1.868956714,3
0.7,0.6593390607,0.002440298954,0.6617793596,0.03227679028,0.2426644452,0.06327940491,0.07796684757,0.6584865475,0.7003266417,0.6584865475,1.087697094,0.9123029064,0.1766346999,1.8233653,3
0.8,0.584567223,0.002198392312,0.5867656153,0.03582441438,0.2962365628,0.08117340749,0.09674087966,0.632961894,0.6855242979,0.632961894,1.103826018,0.8961739822,0.2282461931,1.771753807,3
0.9,0.5118177889,0.001789071739,0.5136068607,0.03837604128,0.3481214764,0.09989562164,0.116339503,0.6052887175,0.6686852125,0.6052887175,1.117833136,0.8821668636,0.2855545274,1.714445473,3
1,0.4429377991,0.001299289452,0.4442370886,0.0401708599,0.3968722044,0.1187198471,0.1366830043,0.5757841583,0.6496431562,0.5757841583,1.129163066,0.8708369336,0.348236602,1.651763398,3
1.1,0.3791727,0.0008209718785,0.3799936719,0.04151194916,0.4415802997,0.1369140792,0.1578175055,0.5447556559,0.628236963,0.5447556559,1.137527096,0.8624729035,0.4159677531,1.584032247,3
1.2,0.3212149436,0.0004423221015,0.3216572657,0.04268237133,0.4818753956,0.1537849674,0.1799132141,0.5125265504,0.6043731856,0.5125265504,1.142869733,0.8571302671,0.4884098047,1.511590195,3
1.3,0.2692972015,0.0002433827582,0.2695405843,0.04387293624,0.517863981,0.1687224984,0.20325015,0.4794598368,0.5780811064,0.4794598368,1.145305327,0.8546946732,0.5651869609,1.434813039,3
1.4,0.2233107444,0.0002891284032,0.2235998728,0.0451339636,0.5500219976,0.181244166,0.2281805918,0.4459657843,0.5495420224,0.4459657843,1.145037184,0.8549628159,0.6458507939,1.354149206,3
1.5,0.1829298402,0.0006160161944,0.1835458564,0.04636354426,0.5790590499,0.1910315495,0.2550645316,0.4124863776,0.5190837775,0.4124863776,1.142275376,0.8577246242,0.7298396704,1.27016033,3
1.6,0.1477250926,0.001214545533,0.1489396381,0.04733727186,0.6057728519,0.1979502381,0.2841852311,0.379460016,0.4871438908,0.379460016,1.137170548,0.8628294517,0.8164413586,1.183558641,3
1.7,0.1172524497,0.002016458365,0.1192689081,0.0477704903,0.6309128539,0.2020477477,0.3156618289,0.3472788723,0.4542153954,0.3472788723,1.129778287,0.8702217129,0.9047687004,1.0952313,3
1.8,0.09110982434,0.002896539225,0.09400636356,0.04739154317,0.655071502,0.2035305913,0.349380861,0.3162549779,0.4207946292,0.3162549779,1.120062,0.8799379999,0.9937563461,1.006243654,3
1.9,0.06895931672,0.003694231438,0.07265354816,0.04600157362,0.6786177898,0.2027270885,0.3849662721,0.2866080779,0.3873479673,0.2866080779,1.107933211,0.8920667887,1.082182055,0.917817945,3
2,0.05051921756,0.004251700688,0.05477091825,0.0435055122,0.7016787123,0.2000448573,0.4217980732,0.2584799324,0.354305906,0.2584799324,1.093319015,0.9066809853,1.168710426,0.831289574,3
2.1,0.03553538312,0.004456844173,0.0399922273,0.03991473695,0.7241615634,0.1959314723,0.4590758843,0.2319694795,0.3220815041,0.2319694795,1.076239905,0.9237600954,1.251952032,0.7480479682,3
2.2,0.02374501527,0.004276028356,0.02802104362,0.03533521059,0.7457992932,0.1908444526,0.4959099935,0.2071753339,0.2911006151,0.2071753339,1.056879197,0.9431208032,1.330528338,0.6694716617,3
2.3,0.01484615191,0.003763865589,0.01861001749,0.02995840235,0.7661985453,0.1852330349,0.531414687,0.1842297862,0.2618275539,0.1842297862,1.035628193,0.9643718066,1.403133102,0.596866898,3
2.4,0.008482790526,0.003045286299,0.01152807683,0.02406478357,0.7848774707,0.1795296689,0.5647799957,0.1633126997,0.2347731783,0.1633126997,1.013097919,0.986902081,1.468583627,0.5314163725,3
2.5,0.00424939933,0.002275581197,0.006524980527,0.01803606856,0.8012934691,0.1741454819,0.5953081917,0.1446424697,0.2104808641,0.1446424697,0.9900963486,1.009903651,1.525858985,0.4741410151,3
2.6,0.00171181462,0.001592895755,0.003304710374,0.01236053958,0.8148713718,0.1694633783,0.6224157199,0.1284504332,0.1894951304,0.1284504332,0.9675770432,1.032422957,1.574125494,0.4258745056,3
2.7,0.0004367691749,0.001080943071,0.001517712245,0.007612490033,0.8250440093,0.1658257884,0.6456132499,0.1149506128,0.1723233044,0.1149506128,0.9465692574,1.053430743,1.612751429,0.3872485709,3
2.8,2.118532567e-05,0.0007554000528,0.0007765853785,0.004394460756,0.8313097464,0.1635192075,0.6644812937,0.1043163355,0.1594005063,0.1043163355,0.9281003967,1.071899603,1.641312796,0.3586872039,3
2.9,0.000114734437,0.0005769301222,0.0006916645592,0.003246376458,0.8333012822,0.1627606767,0.6786555935,0.0966699998,0.1510635913,0.0966699998,0.9131199387,1.086880061,1.659590939,0.3404090609,3
3,0.0004332675532,0.000481983988,0.0009152515413,0.004541450212,0.8308533681,0.1636899301,0.6878285041,0.09208533671,0.1475339813,0.09208533671,0.9024310669,1.097568933,1.667561716,0.332438284,3
3.1,0.0007643756537,0.0004157327916,0.001180108445,0.00839679505,0.8240564511,0.1663666454,0.6917646771,0.09059653733,0.148906027,0.09059653733,0.8966337205,1.103366279,1.665376096,0.3346239044,3
3.2,0.0009681659673,0.0003533423005,0.001321508268,0.01462318823,0.8132860582,0.1707692453,0.6903248543,0.09220757338,0.1551380765,0.09220757338,0.8960813484,1.103918652,1.653333463,0.3466665366,3
3.3,0.000976320093,0.0003045121444,0.001280832237,0.02272624395,0.7992002039,0.1767927199,0.6834908635,0.09689743712,0.1660466856,0.09689743712,0.9008532965,1.099146704,1.63185112,0.3681488804,3
3.4,0.000791567076,0.0003054418523,0.001097008928,0.03195800025,0.7826984408,0.18424655,0.6713861333,0.1046206475,0.1813077376,0.1046206475,0.9107447567,1.089255243,1.601435237,0.3985647627,3
3.5,0.0004888628244,0.0004058700462,0.0008947328706,0.04141022975,0.7648392285,0.1928558089,0.6542871445,0.1153048523,0.2004692618,0.1153048523,0.9252757204,1.07472428,1.562658773,0.4373412266,3
3.6,0.0002191859346,0.0006553212737,0.0008745072083,0.05013900387,0.7467200626,0.2022664264,0.6326216665,0.1288476339,0.2229785849,0.1288476339,0.9437189735,1.056281027,1.516150007,0.4838499928,3
3.7,0.000216590326,0.001087082912,0.001303673238,0.0573083531,0.7293363023,0.2120516714,0.6069504245,0.1451133247,0.2482220344,0.1451133247,0.9651450779,1.034854922,1.462591981,0.5374080188,3
3.8,0.0008083723572,0.001697607399,0.002505979756,0.06233333078,0.7134443054,0.221716384,0.5779314362,0.1639293658,0.2755707748,0.1639293658,0.9884803025,1.011519697,1.402729423,0.5972705771,3
3.9,0.00242657936,0.002425528802,0.004852108162,0.06499062992,0.6994561095,0.2307011524,0.5462708925,0.185081867,0.3044235848,0.185081867,1.01257247,0.9874275304,1.33737725,0.6626227496,3
4,0.005616882041,0.003143329722,0.008760211762,0.0654582034,0.6873847635,0.2383968213,0.5126696246,0.2083116974,0.334237774,0.2083116974,1.036260088,0.963739912,1.26742452,0.7325754801,3
4.1,0.01103888822,0.003676679073,0.0147155673,0.06425622523,0.6768460468,0.2441821607,0.4777773213,0.2333145167,0.364542974,0.2333145167,1.05844154,0.9415584604,1.193829657,0.8061703427,3
4.2,0.01945134625,0.003855822118,0.02330716837,0.06209333933,0.6671110891,0.2474884032,0.4421655909,0.2597488836,0.3949378827,0.2597488836,1.078142394,0.9218576057,1.117606015,0.8823939848,3
4.3,0.03167717949,0.003583927522,0.03526110701,0.05966231345,0.6571997625,0.247876817,0.4063253358,0.2872547558,0.4250750315,0.2872547558,1.094578985,0.905421015,1.039799689,0.9602003106,3
4.4,0.04854700904,0.002891329644,0.05143833869,0.05745550529,0.646004903,0.245101253,0.370685546,0.3154805054,0.4546412005,0.3154805054,1.107214704,0.8927852958,0.9614629393,1.038537061,3
4.5,0.07082490484,0.001944778907,0.07276968374,0.05566473429,0.6324367809,0.2391288011,0.3356428871,0.344111767,0.483340339,0.344111767,1.115802749,0.8841972512,0.8836262194,1.116373781,3
